Gene,HRA_LFC,HRA_sig,RZV_D14,RZV_D74,RZV_D365,Direction
PHF21A,-0.33,***,1.2,2.0,0.7,OPPOSITE (HZ↓ RZV↑)
NCBP2AS2,-1.74,***,0.1,0.1,0.2,OPPOSITE (HZ↓ RZV↑)
PSMB3,0.43,***,0.1,-0.1,0.0,CONCORDANT ↑
KIAA0040,0.41,***,-0.7,0.2,-0.1,OPPOSITE (HZ↑ RZV↓)
BLOC1S4,-0.38,***,-0.3,-0.2,-0.2,CONCORDANT ↓
RPL13AP5,0.89,***,-0.2,-0.4,-0.2,OPPOSITE (HZ↑ RZV↓)
RAP1B,0.62,***,-0.5,-0.4,-0.4,OPPOSITE (HZ↑ RZV↓)
HLA-A,0.9,***,-0.1,-0.1,-0.2,OPPOSITE (HZ↑ RZV↓)
UQCRHL,-1.05,***,-0.2,-0.0,-0.3,CONCORDANT ↓
CARD16,0.43,***,0.1,0.3,-0.5,CONCORDANT ↑
TBK1,0.34,***,0.9,0.9,1.2,CONCORDANT ↑
ILF2,-0.26,***,-0.2,-0.2,-0.0,CONCORDANT ↓
TMUB1,-0.27,***,-0.0,-0.1,0.1,CONCORDANT ↓
CTSC,0.7,***,1.0,1.1,0.6,CONCORDANT ↑
SNHG29,-1.26,***,-0.2,-0.3,0.2,CONCORDANT ↓
CXCL8,-2.0,***,2.5,-1.4,1.8,OPPOSITE (HZ↓ RZV↑)
ABT1,-0.26,***,-0.2,-0.1,-0.3,CONCORDANT ↓
PYCARD,0.52,***,2.0,2.5,-3.2,CONCORDANT ↑
RHOA,0.39,***,0.1,-0.0,0.2,CONCORDANT ↑
SF3B2,-0.5,***,0.0,-0.2,0.0,OPPOSITE (HZ↓ RZV↑)
CXCR3,0.59,***,-0.6,-0.3,-0.5,OPPOSITE (HZ↑ RZV↓)
PLEKHA2,0.44,***,-0.0,0.3,-0.4,OPPOSITE (HZ↑ RZV↓)
MT-ATP8,-1.34,***,-0.5,-0.3,-0.1,CONCORDANT ↓
SMIM12,0.3,***,0.1,0.3,0.1,CONCORDANT ↑
CLTC,0.41,***,0.3,0.4,0.0,CONCORDANT ↑
HSPB1,0.41,***,-0.7,-0.8,0.0,OPPOSITE (HZ↑ RZV↓)
ASAH1,-0.37,***,-0.3,-0.3,1.0,CONCORDANT ↓
LINC01138,-1.28,***,-1.2,-1.5,-0.8,CONCORDANT ↓
COPB1,0.46,***,-0.2,-0.3,0.2,OPPOSITE (HZ↑ RZV↓)
MBNL1,0.52,***,-0.5,-0.4,-0.7,OPPOSITE (HZ↑ RZV↓)
LAMTOR2,0.26,***,0.6,0.1,0.5,CONCORDANT ↑
PSMA4,0.57,***,0.3,0.2,0.3,CONCORDANT ↑
ING4,0.3,***,2.5,2.7,2.3,CONCORDANT ↑
DENND2D,0.71,***,-0.2,-0.4,-0.5,OPPOSITE (HZ↑ RZV↓)
KLF13,-0.34,***,-0.4,-0.6,-0.8,CONCORDANT ↓
GZMM,-0.42,**,-0.2,0.2,-1.1,CONCORDANT ↓
PLAAT4,-2.13,***,0.3,0.0,-0.1,OPPOSITE (HZ↓ RZV↑)
SSR1,0.28,***,0.1,-0.0,0.4,CONCORDANT ↑
APOL6,0.74,***,-0.7,-0.6,-0.5,OPPOSITE (HZ↑ RZV↓)
GALNT1,-0.39,***,0.1,0.0,0.0,OPPOSITE (HZ↓ RZV↑)
RHOF,0.28,***,-0.7,-0.6,-0.6,OPPOSITE (HZ↑ RZV↓)
AKAP8L,-0.34,***,0.4,0.3,0.4,OPPOSITE (HZ↓ RZV↑)
COPS5,0.63,***,0.4,0.0,0.3,CONCORDANT ↑
RALY,-0.42,***,0.5,0.4,0.4,OPPOSITE (HZ↓ RZV↑)
RPL7,3.03,***,-0.4,-0.1,0.1,OPPOSITE (HZ↑ RZV↓)
AIMP1,-0.55,*,0.2,-0.3,0.1,OPPOSITE (HZ↓ RZV↑)
NASP,0.47,***,-0.3,-0.4,-0.0,OPPOSITE (HZ↑ RZV↓)
RPS6,0.55,***,-0.3,-0.3,-0.1,OPPOSITE (HZ↑ RZV↓)
ZNF770,0.45,***,-0.2,-0.1,-0.1,OPPOSITE (HZ↑ RZV↓)
RPL30,1.25,***,-0.2,-0.3,-0.2,OPPOSITE (HZ↑ RZV↓)
CCDC82,0.31,***,0.3,0.5,0.4,CONCORDANT ↑
GLIPR1,0.69,***,-0.2,0.1,-0.6,OPPOSITE (HZ↑ RZV↓)
UCHL5,0.35,***,-0.0,-0.1,0.1,OPPOSITE (HZ↑ RZV↓)
BIRC6,0.39,***,0.4,0.6,-0.2,CONCORDANT ↑
DYNLL1,1.46,***,0.9,0.5,0.3,CONCORDANT ↑
RPL3P4,1.21,***,-0.3,-0.2,-0.1,OPPOSITE (HZ↑ RZV↓)
TNFSF10,0.5,***,-1.0,-1.2,-0.3,OPPOSITE (HZ↑ RZV↓)
TMBIM6,0.55,***,-0.1,0.0,0.1,OPPOSITE (HZ↑ RZV↓)
UQCRH,0.36,***,-0.0,-0.3,-0.2,OPPOSITE (HZ↑ RZV↓)
KDM5B,-1.33,***,0.8,0.6,0.1,OPPOSITE (HZ↓ RZV↑)
SLAMF7,0.95,***,-1.7,-3.3,1.3,OPPOSITE (HZ↑ RZV↓)
CELF1,0.35,***,-0.2,-0.0,-0.5,OPPOSITE (HZ↑ RZV↓)
PHPT1,-0.33,***,0.4,-0.1,0.3,OPPOSITE (HZ↓ RZV↑)
GADD45GIP1,-0.42,***,-0.1,-0.2,-0.0,CONCORDANT ↓
VPS13C,0.72,***,0.3,0.5,-0.0,CONCORDANT ↑
MBD4,-0.38,***,-0.0,-0.2,0.2,CONCORDANT ↓
PAK2,0.44,***,0.1,-0.0,-0.2,CONCORDANT ↑
SRSF4,0.42,***,0.2,0.0,-0.1,CONCORDANT ↑
CAPZA1,0.51,***,0.2,0.1,-0.2,CONCORDANT ↑
PPIE,-0.66,*,-0.1,-0.7,0.1,CONCORDANT ↓
CDC42EP3,0.75,***,-1.1,-0.6,-0.3,OPPOSITE (HZ↑ RZV↓)
BCAS2,-0.47,**,-0.0,-0.1,0.2,CONCORDANT ↓
CX3CR1,2.07,***,0.3,3.0,0.4,CONCORDANT ↑
SERPINB6,0.5,***,-1.7,-6.9,-2.4,OPPOSITE (HZ↑ RZV↓)
CCT5,0.51,***,-0.1,-0.1,0.0,OPPOSITE (HZ↑ RZV↓)
CHCHD1,0.52,***,0.4,0.1,0.2,CONCORDANT ↑
PLEKHA1,0.3,***,-1.4,-0.7,-0.7,OPPOSITE (HZ↑ RZV↓)
PPDPF,-0.44,**,0.3,0.1,-0.3,OPPOSITE (HZ↓ RZV↑)
PSMB8,0.53,***,0.0,-0.1,0.0,CONCORDANT ↑
RTF2,0.41,***,0.2,-0.2,0.3,CONCORDANT ↑
EMG1,0.26,***,-0.2,-0.2,-0.1,OPPOSITE (HZ↑ RZV↓)
C21orf91,0.37,***,0.4,0.6,-0.3,CONCORDANT ↑
PPP4R3B,0.42,***,0.0,0.0,0.2,CONCORDANT ↑
NAPA,-1.08,***,0.1,0.1,0.5,OPPOSITE (HZ↓ RZV↑)
PLEKHA7,-2.62,***,1.4,0.9,-1.3,OPPOSITE (HZ↓ RZV↑)
TMEM33,0.33,***,0.3,0.2,0.2,CONCORDANT ↑
RAB8B,0.37,***,-0.3,-0.2,-0.1,OPPOSITE (HZ↑ RZV↓)
SKAP1,-0.26,***,0.6,0.5,0.3,OPPOSITE (HZ↓ RZV↑)
HCLS1,-0.46,***,0.2,0.3,0.1,OPPOSITE (HZ↓ RZV↑)
TCF25,0.58,***,0.1,0.1,-0.0,CONCORDANT ↑
RPS27A,1.49,***,-0.3,-0.3,-0.2,OPPOSITE (HZ↑ RZV↓)
NDUFAF4,0.27,***,-0.3,-0.5,-0.2,OPPOSITE (HZ↑ RZV↓)
DPY30,0.36,***,-0.2,-0.2,0.2,OPPOSITE (HZ↑ RZV↓)
UBR5,0.3,***,0.3,0.5,-0.2,CONCORDANT ↑
SEPTIN7,-3.11,***,-0.1,-0.2,0.0,CONCORDANT ↓
ARHGEF1,-0.59,**,0.2,0.6,0.3,OPPOSITE (HZ↓ RZV↑)
RPL35,0.49,***,-0.2,-0.3,-0.1,OPPOSITE (HZ↑ RZV↓)
TRAF5,0.3,***,-0.3,0.1,-0.2,OPPOSITE (HZ↑ RZV↓)
VPS35,0.41,***,-0.1,-0.1,0.2,OPPOSITE (HZ↑ RZV↓)
VDAC3,0.31,***,0.0,0.0,-0.0,CONCORDANT ↑
MMP24OS,0.52,***,-0.4,-0.6,-0.8,OPPOSITE (HZ↑ RZV↓)
MRFAP1L1,0.5,***,0.0,0.2,0.4,CONCORDANT ↑
RGS10,0.42,***,0.0,-0.2,-0.3,CONCORDANT ↑
EXOC1,0.28,***,0.3,0.1,0.1,CONCORDANT ↑
RELA,-0.29,***,-0.2,-0.0,0.0,CONCORDANT ↓
ABI3,0.29,***,0.6,-0.5,-1.2,CONCORDANT ↑
TXNDC9,0.31,***,0.6,0.4,0.8,CONCORDANT ↑
PRKACB,0.73,***,0.5,0.8,1.1,CONCORDANT ↑
WNK1,0.46,***,0.3,0.3,-1.1,CONCORDANT ↑
SMIM10L1,-0.32,***,0.3,0.2,0.3,OPPOSITE (HZ↓ RZV↑)
UBE2V2,0.35,***,0.7,0.3,0.8,CONCORDANT ↑
C1QBP,-0.25,***,-0.2,-0.3,-0.1,CONCORDANT ↓
RPL34,-0.6,***,-0.2,-0.3,-0.1,CONCORDANT ↓
DNAJB14,0.25,***,-0.0,0.1,-0.1,OPPOSITE (HZ↑ RZV↓)
CD52,0.9,***,-0.1,-0.2,-0.4,OPPOSITE (HZ↑ RZV↓)
JUND,-2.0,***,0.3,0.1,0.1,OPPOSITE (HZ↓ RZV↑)
HUWE1,0.39,***,-0.1,-0.1,-0.8,OPPOSITE (HZ↑ RZV↓)
HCP5,0.65,***,0.4,0.3,-0.1,CONCORDANT ↑
MAP7D1,-0.36,***,-0.1,0.1,0.2,CONCORDANT ↓
TMEM208,0.3,***,-0.1,-0.1,0.1,OPPOSITE (HZ↑ RZV↓)
ZNF90,-1.73,***,-0.4,1.7,-0.6,CONCORDANT ↓
MT-CO1,-0.26,***,-0.2,-0.1,0.0,CONCORDANT ↓
BSG,-0.32,***,0.2,0.2,0.4,OPPOSITE (HZ↓ RZV↑)
PSPC1,-0.31,***,0.2,0.4,0.2,OPPOSITE (HZ↓ RZV↑)
TSC22D3,-2.45,***,0.6,0.9,1.6,OPPOSITE (HZ↓ RZV↑)
ECPAS,0.28,***,-0.3,0.1,-0.6,OPPOSITE (HZ↑ RZV↓)
PQBP1,0.29,***,0.1,-0.2,0.2,CONCORDANT ↑
SRRM1,-0.46,***,-0.1,-0.3,0.1,CONCORDANT ↓
PUF60,-0.33,***,-0.1,-0.1,0.0,CONCORDANT ↓
FRYL,0.45,***,-0.6,-0.4,-0.7,OPPOSITE (HZ↑ RZV↓)
IER2,-1.52,***,0.4,0.2,0.1,OPPOSITE (HZ↓ RZV↑)
UBE3C,-1.12,***,0.2,0.0,0.3,OPPOSITE (HZ↓ RZV↑)
ARCN1,0.28,***,-0.4,-0.2,0.3,OPPOSITE (HZ↑ RZV↓)
SARS1,-1.3,***,-0.1,-0.5,-0.0,CONCORDANT ↓
DCAF5,-0.36,***,0.0,-0.6,-0.3,OPPOSITE (HZ↓ RZV↑)
GBP3,0.48,***,2.7,3.3,1.2,CONCORDANT ↑
H1-10,-3.36,***,1.1,0.3,1.4,OPPOSITE (HZ↓ RZV↑)
ATP5F1E,0.68,***,0.1,-0.0,-0.0,CONCORDANT ↑
RPLP2,0.56,***,-0.3,-0.4,-0.2,OPPOSITE (HZ↑ RZV↓)
S100A10,0.34,***,-0.6,-0.2,-0.0,OPPOSITE (HZ↑ RZV↓)
GNLY,-0.62,***,-2.3,3.1,3.3,CONCORDANT ↓
ARHGAP26,-0.49,**,0.5,0.6,0.3,OPPOSITE (HZ↓ RZV↑)
EIF3A,0.59,***,-0.1,-0.0,-0.1,OPPOSITE (HZ↑ RZV↓)
PRDX3,0.47,***,0.1,-0.2,0.3,CONCORDANT ↑
SAMD9L,0.83,***,0.7,1.2,0.5,CONCORDANT ↑
GSTO1,0.51,***,-0.2,-0.1,0.2,OPPOSITE (HZ↑ RZV↓)
TRIP12,0.47,***,0.0,0.0,-0.4,CONCORDANT ↑
BANF1,0.48,***,0.0,-0.2,0.2,CONCORDANT ↑
KLRG1,0.55,***,-1.1,0.2,-1.2,OPPOSITE (HZ↑ RZV↓)
HNRNPA3,1.31,***,-0.2,-0.0,-0.3,OPPOSITE (HZ↑ RZV↓)
RPS9,0.48,***,-0.1,-0.3,-0.0,OPPOSITE (HZ↑ RZV↓)
CIRBP,-1.12,***,0.3,0.4,0.4,OPPOSITE (HZ↓ RZV↑)
YIPF4,0.27,***,0.2,-0.1,0.3,CONCORDANT ↑
WAS,-0.26,***,0.8,0.2,0.8,OPPOSITE (HZ↓ RZV↑)
SSR3,0.51,***,-0.2,-0.1,0.3,OPPOSITE (HZ↑ RZV↓)
PGLS,0.3,***,0.3,0.0,-0.3,CONCORDANT ↑
LEPROTL1,-0.26,***,0.4,0.6,0.4,OPPOSITE (HZ↓ RZV↑)
ICAM2,0.42,***,-0.2,-0.2,-0.5,OPPOSITE (HZ↑ RZV↓)
CMTM7,-0.28,***,-0.3,0.3,0.4,CONCORDANT ↓
NOP10,0.44,***,-0.2,-0.2,-0.2,OPPOSITE (HZ↑ RZV↓)
PDLIM2,0.69,***,-0.2,-0.5,0.9,OPPOSITE (HZ↑ RZV↓)
GRPEL1,-0.28,***,-0.6,-0.6,-0.0,CONCORDANT ↓
XIST,0.7,***,-0.3,0.6,0.0,OPPOSITE (HZ↑ RZV↓)
TXNDC12,0.65,***,0.5,0.0,0.4,CONCORDANT ↑
RPL12,0.95,***,-0.3,-0.3,-0.2,OPPOSITE (HZ↑ RZV↓)
ANAPC4,0.28,***,0.5,0.6,0.7,CONCORDANT ↑
ARPC3,2.91,***,0.3,0.2,0.2,CONCORDANT ↑
AP3S1,-0.42,***,-0.0,-0.2,-0.1,CONCORDANT ↓
GAS5,0.44,***,-0.3,-0.2,0.3,OPPOSITE (HZ↑ RZV↓)
HSPA5,-1.29,***,-0.2,-0.1,0.2,CONCORDANT ↓
STK4,0.39,***,0.1,0.2,-0.1,CONCORDANT ↑
SCAF8,0.26,***,-0.3,-0.0,-0.7,OPPOSITE (HZ↑ RZV↓)
EMB,0.57,***,-0.2,-0.1,-0.2,OPPOSITE (HZ↑ RZV↓)
COA5,0.26,***,0.9,-0.5,0.5,CONCORDANT ↑
MEF2D,-0.97,***,1.1,0.8,0.9,OPPOSITE (HZ↓ RZV↑)
UBE2R2,-0.28,***,0.5,0.6,-0.2,OPPOSITE (HZ↓ RZV↑)
HLA-DRA,0.38,***,4.0,4.7,0.1,CONCORDANT ↑
CMTM3,-0.63,*,0.2,0.4,0.3,OPPOSITE (HZ↓ RZV↑)
RSBN1L,0.37,***,0.6,0.2,0.2,CONCORDANT ↑
RPS26,2.77,***,-0.1,-0.3,0.0,OPPOSITE (HZ↑ RZV↓)
LRIF1,0.46,***,-0.7,-1.6,-0.3,OPPOSITE (HZ↑ RZV↓)
TCEA1,0.44,***,-0.3,-0.4,0.2,OPPOSITE (HZ↑ RZV↓)
RAC2,0.74,***,-0.2,-0.2,-0.5,OPPOSITE (HZ↑ RZV↓)
TNFAIP8,0.55,***,0.1,0.2,0.0,CONCORDANT ↑
NDUFS6,0.26,***,0.0,-0.1,0.1,CONCORDANT ↑
PPP1R15A,-1.58,***,-0.3,-0.2,1.0,CONCORDANT ↓
LSM4,-0.31,***,-0.1,-0.4,0.6,CONCORDANT ↓
POLR2B,0.63,***,0.1,0.0,0.0,CONCORDANT ↑
MYCBP2,0.61,***,-0.1,-0.2,-0.3,OPPOSITE (HZ↑ RZV↓)
RPS18,-0.32,***,-0.3,-0.3,-0.2,CONCORDANT ↓
ATP2B1,-0.31,***,-0.4,0.0,-0.2,CONCORDANT ↓
CSTB,0.86,***,-0.2,-0.3,-0.2,OPPOSITE (HZ↑ RZV↓)
TMX3,0.38,***,0.1,-0.1,0.5,CONCORDANT ↑
UXT,0.54,***,-0.4,-0.5,-0.2,OPPOSITE (HZ↑ RZV↓)
NAP1L1,0.75,***,-0.0,-0.2,-0.1,OPPOSITE (HZ↑ RZV↓)
RPL24,0.83,***,-0.1,-0.3,-0.2,OPPOSITE (HZ↑ RZV↓)
CRBN,-0.26,***,0.6,0.5,0.3,OPPOSITE (HZ↓ RZV↑)
MLF2,-0.39,***,-0.2,-0.0,0.3,CONCORDANT ↓
HBP1,-0.32,**,0.1,0.4,0.1,OPPOSITE (HZ↓ RZV↑)
MRPS31,0.31,***,0.2,0.4,-0.3,CONCORDANT ↑
RPS8,0.81,***,-0.1,-0.2,-0.2,OPPOSITE (HZ↑ RZV↓)
RNF181,0.31,***,0.3,0.1,0.5,CONCORDANT ↑
FCRL3,0.35,***,-0.5,0.1,0.8,OPPOSITE (HZ↑ RZV↓)
RPS16,0.97,***,-0.1,-0.2,-0.1,OPPOSITE (HZ↑ RZV↓)
IKZF3,1.08,***,0.1,-0.1,-0.6,CONCORDANT ↑
UBL5,0.64,***,-0.1,-0.2,0.0,OPPOSITE (HZ↑ RZV↓)
TIAL1,0.43,***,0.5,0.5,0.1,CONCORDANT ↑
PAPOLG,0.26,***,0.4,0.5,0.3,CONCORDANT ↑
TMEM123,0.31,***,-0.2,-0.1,0.2,OPPOSITE (HZ↑ RZV↓)
MAP4K1,-0.28,***,3.9,3.9,-1.2,OPPOSITE (HZ↓ RZV↑)
HIKESHI,0.31,***,0.1,0.2,0.1,CONCORDANT ↑
SLAMF6,0.76,***,0.6,0.6,0.2,CONCORDANT ↑
FTH1,-0.82,***,-0.6,-0.4,-0.3,CONCORDANT ↓
CCL4,0.8,***,1.4,2.3,2.2,CONCORDANT ↑
ZBTB7A,-0.29,***,0.3,0.5,0.2,OPPOSITE (HZ↓ RZV↑)
CMC1,0.25,***,0.9,-0.2,0.7,CONCORDANT ↑
THOC2,0.5,***,-0.0,-0.3,-0.0,OPPOSITE (HZ↑ RZV↓)
PLXND1,-0.41,*,1.3,1.2,-1.7,OPPOSITE (HZ↓ RZV↑)
KCNAB2,-0.3,***,-0.9,-0.1,-0.4,CONCORDANT ↓
ANKRD11,-0.32,***,-0.4,-0.2,-0.5,CONCORDANT ↓
XAF1,0.75,***,-0.6,-0.2,0.3,OPPOSITE (HZ↑ RZV↓)
COX7B,0.36,***,-0.1,-0.1,0.0,OPPOSITE (HZ↑ RZV↓)
MYOM2,-1.46,***,0.2,1.9,1.2,OPPOSITE (HZ↓ RZV↑)
TSC22D4,-0.45,***,1.6,1.1,1.2,OPPOSITE (HZ↓ RZV↑)
RPS27L,0.46,***,0.5,0.2,0.1,CONCORDANT ↑
SPOCK2,-0.39,***,0.5,0.9,-0.4,OPPOSITE (HZ↓ RZV↑)
FOXN2,0.49,***,-0.0,-0.2,-0.1,OPPOSITE (HZ↑ RZV↓)
PTPRC,0.63,***,-0.2,-0.2,-0.4,OPPOSITE (HZ↑ RZV↓)
LSM2,0.35,***,0.1,-0.1,0.3,CONCORDANT ↑
GNAI2,-0.81,**,0.5,0.4,0.6,OPPOSITE (HZ↓ RZV↑)
RO60,-1.12,***,0.3,-0.1,0.4,OPPOSITE (HZ↓ RZV↑)
CSNK1G2,-0.48,*,-0.7,0.1,-1.2,CONCORDANT ↓
TCP1,0.26,***,-0.4,-0.4,-0.1,OPPOSITE (HZ↑ RZV↓)
CEP78,0.58,***,0.9,-0.9,1.1,CONCORDANT ↑
TOP2B,0.46,***,-0.3,0.1,-0.4,OPPOSITE (HZ↑ RZV↓)
SELENOK,-0.99,***,-0.6,-0.7,0.0,CONCORDANT ↓
RPL27,1.07,***,-0.2,-0.3,-0.1,OPPOSITE (HZ↑ RZV↓)
SYNRG,0.65,***,0.5,-0.0,-0.0,CONCORDANT ↑
ZC3H13,0.44,***,0.3,0.3,-0.0,CONCORDANT ↑
ATP1A1,-0.33,***,0.3,-0.0,-0.4,OPPOSITE (HZ↓ RZV↑)
TRBC2,0.4,***,-0.3,0.0,0.0,OPPOSITE (HZ↑ RZV↓)
DHX9,0.41,***,-0.3,-0.2,-0.2,OPPOSITE (HZ↑ RZV↓)
TUT4,-1.34,***,0.1,-0.2,0.2,OPPOSITE (HZ↓ RZV↑)
FBXW5,-0.39,***,1.1,1.1,0.3,OPPOSITE (HZ↓ RZV↑)
SDAD1,0.31,***,-0.0,-0.2,-0.1,OPPOSITE (HZ↑ RZV↓)
RTF1,-0.28,***,0.3,0.2,0.6,OPPOSITE (HZ↓ RZV↑)
SUPT5H,-1.04,***,0.4,0.2,-0.2,OPPOSITE (HZ↓ RZV↑)
MAPK1IP1L,-0.36,***,0.0,0.0,-0.1,OPPOSITE (HZ↓ RZV↑)
ARGLU1,-0.46,***,0.1,0.0,0.1,OPPOSITE (HZ↓ RZV↑)
TMEM106B,0.34,***,-0.7,-0.9,-0.4,OPPOSITE (HZ↑ RZV↓)
NDUFA8,0.35,***,0.0,-0.1,0.2,CONCORDANT ↑
H1-2,-1.63,***,0.8,-0.6,-2.2,OPPOSITE (HZ↓ RZV↑)
TUT7,-1.11,***,0.3,0.6,-0.0,OPPOSITE (HZ↓ RZV↑)
TPM4,0.74,***,0.4,0.7,-0.6,CONCORDANT ↑
TAOK3,-0.35,***,0.5,0.3,0.5,OPPOSITE (HZ↓ RZV↑)
YPEL3,-0.58,*,0.4,0.8,-0.4,OPPOSITE (HZ↓ RZV↑)
DYNLT1,-1.05,***,0.8,0.5,0.7,OPPOSITE (HZ↓ RZV↑)
MYL12B,0.51,***,-0.1,-0.2,0.0,OPPOSITE (HZ↑ RZV↓)
SH3BP1,0.69,***,0.3,0.3,1.7,CONCORDANT ↑
HCST,0.59,***,-0.3,-0.4,-0.3,OPPOSITE (HZ↑ RZV↓)
LAIR1,0.34,***,0.1,0.1,1.3,CONCORDANT ↑
ACBD3,-0.3,***,0.2,0.3,0.1,OPPOSITE (HZ↓ RZV↑)
TIMMDC1,0.27,***,1.2,1.2,0.2,CONCORDANT ↑
UBA6,0.33,***,0.3,0.5,0.4,CONCORDANT ↑
ELK4,0.3,***,-0.1,0.0,-0.4,OPPOSITE (HZ↑ RZV↓)
WDR82,0.45,***,-0.5,-0.3,-0.6,OPPOSITE (HZ↑ RZV↓)
SF3A2,-0.35,***,-0.0,0.2,0.2,CONCORDANT ↓
PSMC6,0.36,***,0.2,0.0,0.2,CONCORDANT ↑
ARHGAP45,1.02,***,1.6,0.6,0.4,CONCORDANT ↑
PTPRA,-0.51,***,1.0,0.6,1.0,OPPOSITE (HZ↓ RZV↑)
GNB2,-0.48,***,0.4,0.4,0.8,OPPOSITE (HZ↓ RZV↑)
PPP2R2D,-0.3,***,-0.1,-0.3,0.1,CONCORDANT ↓
SP3,-0.3,***,0.3,0.5,-0.0,OPPOSITE (HZ↓ RZV↑)
ATP5ME,-0.6,**,0.1,-0.0,0.1,OPPOSITE (HZ↓ RZV↑)
CDC42,0.83,***,0.0,0.2,-0.2,CONCORDANT ↑
PRDM1,-0.48,***,-0.1,-0.5,-0.7,CONCORDANT ↓
AKAP11,0.3,***,0.6,0.9,0.2,CONCORDANT ↑
HBA1,-1.21,***,-0.5,1.8,5.4,CONCORDANT ↓
NCKAP1L,0.49,***,0.0,1.3,-0.1,CONCORDANT ↑
ARHGEF6,0.34,***,0.1,0.3,-0.5,CONCORDANT ↑
NEAT1,-0.26,***,0.2,0.4,-0.7,OPPOSITE (HZ↓ RZV↑)
LPXN,0.45,***,0.1,0.6,-0.3,CONCORDANT ↑
EXOC5,0.28,***,0.4,0.1,0.9,CONCORDANT ↑
RNF145,-0.37,***,0.4,0.4,0.4,OPPOSITE (HZ↓ RZV↑)
CCDC90B,0.32,***,0.3,-0.1,0.5,CONCORDANT ↑
HBA2,-1.74,***,-0.2,1.0,7.2,CONCORDANT ↓
KLRD1,0.89,***,-0.2,-0.1,0.6,OPPOSITE (HZ↑ RZV↓)
ID2,0.48,***,0.5,0.7,0.8,CONCORDANT ↑
SSB,0.33,***,-0.3,-0.5,-0.2,OPPOSITE (HZ↑ RZV↓)
RECQL,0.38,***,0.5,0.2,0.2,CONCORDANT ↑
RNF149,-0.84,*,-0.3,-0.2,-0.2,CONCORDANT ↓
ADAM10,0.43,***,0.2,-0.3,-0.5,CONCORDANT ↑
H3-3B,-4.93,***,-0.2,-0.3,-0.1,CONCORDANT ↓
EIF4B,0.61,***,-0.5,-0.2,-0.5,OPPOSITE (HZ↑ RZV↓)
RPS5,-0.7,***,-0.2,-0.3,-0.2,CONCORDANT ↓
ENO1,0.26,***,-0.3,-0.3,-0.2,OPPOSITE (HZ↑ RZV↓)
RPL22L1,0.34,***,-0.8,-1.1,-0.6,OPPOSITE (HZ↑ RZV↓)
RPL7A,1.14,***,-0.4,-0.5,-0.2,OPPOSITE (HZ↑ RZV↓)
PDHB,0.28,***,0.8,0.6,0.3,CONCORDANT ↑
SLC27A4,-0.99,***,3.5,2.5,1.3,OPPOSITE (HZ↓ RZV↑)
NENF,-0.44,*,0.3,-0.2,0.5,OPPOSITE (HZ↓ RZV↑)
SSBP3,-0.3,***,-0.7,0.2,0.3,CONCORDANT ↓
KLHDC2,-0.28,***,0.9,0.5,0.9,OPPOSITE (HZ↓ RZV↑)
TNFRSF1A,0.4,***,0.1,0.4,-0.1,CONCORDANT ↑
FRG1CP,0.76,***,1.1,0.6,0.4,CONCORDANT ↑
ASCC2,-0.37,***,0.2,0.1,0.1,OPPOSITE (HZ↓ RZV↑)
MAPK1,0.36,***,-0.0,0.0,-0.2,OPPOSITE (HZ↑ RZV↓)
HSD17B11,1.06,***,0.5,-0.1,0.7,CONCORDANT ↑
ZNF217,0.41,***,0.3,0.2,-0.0,CONCORDANT ↑
NSD3,-0.38,***,0.3,0.2,-0.1,OPPOSITE (HZ↓ RZV↑)
PLAC8,1.13,***,-0.6,-1.0,-1.1,OPPOSITE (HZ↑ RZV↓)
APC,0.41,***,-0.3,1.2,0.8,OPPOSITE (HZ↑ RZV↓)
UQCRC1,-0.3,***,0.3,0.4,0.5,OPPOSITE (HZ↓ RZV↑)
EAPP,-0.27,***,0.7,0.3,-0.0,OPPOSITE (HZ↓ RZV↑)
CHD4,1.13,***,-0.2,-0.3,-0.3,OPPOSITE (HZ↑ RZV↓)
SNRPA,-0.26,***,-0.1,-0.2,0.2,CONCORDANT ↓
DEDD2,-0.26,***,1.0,0.5,1.5,OPPOSITE (HZ↓ RZV↑)
SYAP1,-0.43,**,0.1,0.0,0.0,OPPOSITE (HZ↓ RZV↑)
RASAL2,-2.74,***,1.8,-0.2,-1.1,OPPOSITE (HZ↓ RZV↑)
RPL14,0.52,***,-0.4,-0.5,-0.4,OPPOSITE (HZ↑ RZV↓)
MCTS1,0.27,***,0.4,-0.0,-0.1,CONCORDANT ↑
UBE2J1,-0.26,***,-0.3,-0.2,0.2,CONCORDANT ↓
CD81,-1.86,***,0.0,-0.0,-0.3,OPPOSITE (HZ↓ RZV↑)
JUN,-1.85,***,-0.9,-0.4,-1.0,CONCORDANT ↓
TAF1D,0.37,***,-0.1,-0.0,0.1,OPPOSITE (HZ↑ RZV↓)
P4HB,-0.45,***,0.3,0.2,0.5,OPPOSITE (HZ↓ RZV↑)
ICAM3,-0.47,***,1.3,1.1,-0.4,OPPOSITE (HZ↓ RZV↑)
CREBZF,-0.26,***,0.1,0.4,0.6,OPPOSITE (HZ↓ RZV↑)
UBE2D2,-0.32,***,-0.1,-0.2,0.1,CONCORDANT ↓
PDCD10,0.35,***,0.2,-0.2,0.4,CONCORDANT ↑
