"","D14","D60","D74","D365"
"ENSG00000131844",0.0262166071787644,0.944790311172658,0.899474408571853,0.972806963623548
"ENSG00000065154",0.0271998044823122,0.574950809464596,0.0589598682892357,0.508894345089288
"ENSG00000067082",0.0271998044823122,0.88061900560505,0.347031656327911,0.475739898034395
"ENSG00000212907",0.0275320214960689,0.684722610502416,0.33712667141723,0.943546636406821
"ENSG00000155096",0.0275320214960689,0.599927715087431,0.225605962017732,0.589565644584592
"ENSG00000188171",0.0275848992655194,0.906698536145743,0.237806053793584,0.964472590017023
"ENSG00000184209",0.0275848992655194,0.678347452303744,0.221658334382971,0.499559551349403
"ENSG00000100162",0.0276845645105348,0.668381512737688,0.251739625294283,0.327179998070661
"ENSG00000119596",0.0276845645105348,0.495547775109765,0.36945088970342,0.752891817838713
"ENSG00000151491",0.0276845645105348,0.406754543645601,0.344710053144442,0.486328416955432
"ENSG00000112312",0.0281572744477275,0.379726265552601,0.115861047703825,0.243296620983913
"ENSG00000092199",0.0281572744477275,0.799908722918327,0.171593154003492,0.827879381029068
"ENSG00000137154",0.0281572744477275,0.96244891122703,0.0626225382428802,0.380072268507897
"ENSG00000275342",0.0281572744477275,0.571617357771241,0.0992903958400042,0.412521802692765
"ENSG00000128891",0.0281971762059394,0.738078340433721,0.430443051029127,0.201503732162636
"ENSG00000184995",0.0287920253274709,0.391250412343942,0.156026110939297,0.186579396156472
"ENSG00000085733",0.0288358014522503,0.99711265826148,0.221169451163556,0.492559091223004
"ENSG00000156535",0.0289510917334991,0.129724638600784,0.00371957982744613,0.0932740061777865
"ENSG00000172531",0.0290562544525926,0.991591173351693,0.195075690463541,0.0405930906813521
"ENSG00000186469",0.0290562544525926,0.996314793065666,0.200569920789906,0.808380068933869
"ENSG00000088888",0.0294392989866393,0.588677978243095,0.0188742267613427,0.628842110059697
"ENSG00000261208",0.0294392989866393,0.828011188084641,0.190096793668503,0.183306997881879
"ENSG00000005844",0.0294392989866393,0.730361634463656,0.0612522475577728,0.708548016859917
"ENSG00000171159",0.0299383254728768,0.734281104848094,0.112327405852931,0.0439842283736648
"ENSG00000249784",0.0299703065875239,0.954878918483755,0.347031656327911,0.899841778248304
"ENSG00000081320",0.0299703065875239,0.713943341083064,0.403564749745105,0.623925163226008
"ENSG00000173559",0.0300601115240362,0.991591173351693,0.210593791587321,0.156770769506372
"ENSG00000087494",0.0301738212070053,0.0295375719195368,0.391508245892622,0.770617929199257
"ENSG00000008083",0.0301738212070053,0.0487853231259988,0.0281395384368759,0.937827852910374
"ENSG00000135821",0.0301738212070053,0.387930812101209,0.0679390829962484,0.186579396156472
"ENSG00000189190",0.0301738212070053,0.983100270499085,0.133757856488899,0.718759919339725
"ENSG00000142168",0.0301738212070053,0.746701852564285,0.447631963199998,0.951978733369891
"ENSG00000130449",0.0304516693311406,0.665053415473803,0.353967247196476,0.542573374098429
"ENSG00000163219",0.0311491522240398,0.993688001438456,0.143943674834843,0.724064647851463
"ENSG00000142156",0.0312512390951897,0.408705431639584,0.10926451224865,0.134600154806822
"ENSG00000137804",0.0315215193299896,0.390801737338698,0.0992903958400042,0.862179751850262
"ENSG00000254879",0.0315215193299896,0.0750027421683903,0.108041756962633,0.459225257208423
"ENSG00000120306",0.0315215193299896,0.820433810792801,0.414362620149253,0.351718570222731
"ENSG00000256582",0.0315215193299896,0.255466759225871,0.0976096308075334,0.500349712005387
"ENSG00000151692",0.0316207942122041,0.255466759225871,0.227146491713776,0.138660421617309
"ENSG00000138684",0.0316207942122041,0.367843137748955,0.0164229169414915,0.0636859822520709
"ENSG00000159720",0.0317892013833915,0.693390276013481,0.516404323005949,0.291367646703478
"ENSG00000176845",0.0330289527379074,0.43288587568267,0.298430249504567,0.618634109252373
"ENSG00000135446",0.0330800657769758,0.478953970851095,0.0645799026020206,0.559475452633508
"ENSG00000148516",0.0330800657769758,0.255466759225871,0.35831245574066,0.566772617504949
"ENSG00000104325",0.0330800657769758,0.591482327651638,0.36945088970342,0.547526504526537
"ENSG00000198814",0.0330800657769758,0.393881134807944,0.0210312970369472,0.201503732162636
"ENSG00000117090",0.0330800657769758,0.803533397571393,0.586310346312991,0.637153441084845
"ENSG00000164051",0.0330800657769758,0.702156465372799,0.218932235782531,0.107985238576216
"ENSG00000102316",0.0330882312160325,0.945243146999273,0.200569920789906,0.205706279367927
"ENSG00000111846",0.0332485930409908,0.996314793065666,0.0718961855829237,0.969432184274784
"ENSG00000124701",0.0332955747655161,0.653825266288217,0.855741146323763,0.525422492767521
"ENSG00000100911",0.0332955747655161,0.64580312191394,0.0350545496037573,0.979682477046249
"ENSG00000145703",0.033303392597009,0.670565066797481,0.0142566761362752,0.215143512385166
"ENSG00000025039",0.0334990368315878,0.280800127617085,0.0589598682892357,0.251971563095209
"ENSG00000140284",0.0335697026350019,0.322962066826705,0.0462553254841907,0.200713645751537
"ENSG00000066651",0.0335697026350019,0.537288753947113,0.0593226510229932,0.857583055340884
"ENSG00000140280",0.0335965718052659,0.772258240144972,0.162508594803545,0.308026704414624
"ENSG00000241911",0.0337897852781508,0.92736285945077,0.461531218909915,0.663282180600178
"ENSG00000187514",0.0337897852781508,0.765452974720266,0.05846182857506,0.301680505942381
"ENSG00000111676",0.0338253816842566,0.603636568163994,0.0648473702669407,0.244987028896993
"ENSG00000165775",0.0338778929203927,0.591482327651638,0.0673572467840781,0.413002163908907
"ENSG00000171451",0.0340386422761356,0.714527836520768,0.336953536255188,0.586181720044206
"ENSG00000109471",0.0343323924938228,0.684722610502416,0.102659706271341,0.800262901830107
"ENSG00000074800",0.0348560216219423,0.768998969169199,0.0450457123504178,0.186579396156472
"ENSG00000101193",0.0351320016669354,0.255466759225871,0.573383541776336,0.414857497756853
"ENSG00000153721",0.0354590652376398,0.53969490757111,0.322534559250334,0.552665411058001
"ENSG00000076641",0.0359957297914616,0.335847034729545,0.0849518283634825,0.0360226495874785
"ENSG00000152795",0.0363747859744498,0.768364390206017,0.0612522475577728,0.692317507822915
"ENSG00000168958",0.0366244058407009,0.894955069834386,0.227146491713776,0.487056181109098
"ENSG00000149273",0.0367869066995574,0.848609607745208,0.0911038168581958,0.261454008732592
"ENSG00000163584",0.0367869066995574,0.954581249541781,0.0519932694828237,0.248009857350922
"ENSG00000167004",0.0379819709238275,0.280800127617085,0.347358188184161,0.269447343149582
"ENSG00000138032",0.0382179236725137,0.566914607656429,0.019387997149125,0.40536341870321
"ENSG00000226979",0.0382179236725137,0.404279880874273,0.0753333217702575,0.730796219959461
"ENSG00000143891",0.0382578323032265,0.720648550774425,0.0579642731405749,0.203699354059687
"ENSG00000211855",0.0385255257260768,0.996314793065666,0.777328747158036,0.78740013376584
"ENSG00000226806",0.0385751461520759,0.893619907996681,0.714858342807814,0.726564611974954
"ENSG00000129534",0.0385751461520759,0.918737093021229,0.269673293377222,0.518322282643981
"ENSG00000253522",0.0385751461520759,0.783865634157458,0.0618349474503708,0.139050189562237
"ENSG00000145675",0.0385991682022964,0.827232323216333,0.832060613351814,0.756847483196502
"ENSG00000186265",0.0385991682022964,0.604769523121612,0.17297816056656,0.954799539467582
"ENSG00000176092",0.0385991682022964,0.354614049745602,0.0753333217702575,0.34167652779115
"ENSG00000125735",0.0386098292110244,0.746701852564285,0.329085200991707,0.453931539682774
"ENSG00000164400",0.0389085385121655,0.629591444582216,0.314003290488602,0.920635656468188
"ENSG00000135318",0.0394369716902798,0.734231679257258,0.2559032338912,0.503971286251613
"ENSG00000137070",0.0395142678286545,0.26298941177072,0.513343322315201,0.0973023898440713
"ENSG00000117505",0.0400840229150639,0.768586700879077,0.36945088970342,0.768421741615982
"ENSG00000217527",0.0400840229150639,0.81666015250669,0.911572119779362,0.119215314363651
"ENSG00000163597",0.0400840229150639,0.765452974720266,0.321157692196814,0.967416147117643
"ENSG00000110448",0.0400840229150639,0.679040959136844,0.0626225382428802,0.894331716644012
"ENSG00000108582",0.0400840229150639,0.720365796451154,0.759352459573574,0.479619991322105
"ENSG00000102870",0.0400840229150639,0.255466759225871,0.145192826981555,0.199366113246136
"ENSG00000234511",0.0400840229150639,0.996314793065666,0.780153550982785,0.885248567258591
"ENSG00000121481",0.0400840229150639,0.719725923370045,0.590655091455941,0.950233648163751
"ENSG00000034693",0.0400840229150639,0.651766504985301,0.263866089488054,0.767390645646526
"ENSG00000278730",0.0400840229150639,0.72845309236992,0.546470021350728,0.885322070176244
"ENSG00000020577",0.0400840229150639,0.768998969169199,0.286664137264925,0.16736410349215
"ENSG00000164754",0.0400840229150639,0.746701852564285,0.0493951929313863,0.49316454481913
"ENSG00000102172",0.0400840229150639,0.679040959136844,0.109025928103758,0.0905071283612314
"ENSG00000139168",0.0403814048976682,0.9630403643323,0.22399136993587,0.389827444281768
"ENSG00000196199",0.0403814048976682,0.49307709339013,0.231612443166156,0.349740328341617
"ENSG00000151422",0.0404017363096124,0.779894197308716,0.230177890562464,0.238347372642048
"ENSG00000006625",0.0407197933971393,0.734743586179004,0.246183832674742,0.330750236081046
"ENSG00000229989",0.0411198370639615,0.109956845274621,0.0579642731405749,0.871887675265207
