gsm,title,cell type,donorid,tetramer,qc pass,visit
GSM7953636,1_DR0401_Baseline_lib40934,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953637,1_DR0401_Baseline_lib40935,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953638,1_DR0401_Baseline_lib40936,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953639,1_DR0401_Baseline_lib40937,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953640,1_DR0401_Baseline_lib40938,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953641,1_DR0401_Baseline_lib40939,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953642,1_DR0401_Baseline_lib40940,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953643,1_DR0401_Baseline_lib40941,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953644,1_DR0401_Baseline_lib40942,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953645,1_DR0401_Baseline_lib40943,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953646,1_DR0401_Baseline_lib40944,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953647,1_DR0401_Baseline_lib40945,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953648,1_DR0401_Baseline_lib40946,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953649,1_DR0401_Baseline_lib40947,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953650,1_DR0401_Baseline_lib40948,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953651,1_DR0401_Baseline_lib40949,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953652,1_DR0401_Baseline_lib40950,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953653,1_DR0401_Baseline_lib40951,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953654,1_DR0401_Baseline_lib40952,CD4 T cell,1,DR0401,FALSE,Baseline
GSM7953655,1_DR0401_Baseline_lib40953,CD4 T cell,1,DR0401,FALSE,Baseline
GSM7953656,1_DR0401_Baseline_lib40954,CD4 T cell,1,DR0401,FALSE,Baseline
GSM7953657,1_DR0401_Baseline_lib40955,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953658,1_DR0401_Baseline_lib40956,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953659,1_DR0401_Baseline_lib40957,CD4 T cell,1,DR0401,FALSE,Baseline
GSM7953660,1_DR0401_Baseline_lib40958,CD4 T cell,1,DR0401,FALSE,Baseline
GSM7953661,1_DR0401_Baseline_lib40959,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953662,1_DR0401_Baseline_lib40960,CD4 T cell,1,DR0401,FALSE,Baseline
GSM7953663,1_DR0401_Baseline_lib40961,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953664,1_DR0401_Baseline_lib40962,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953665,1_DR0401_Baseline_lib40963,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953666,1_DR0401_Baseline_lib40964,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953667,1_DR0401_Baseline_lib40965,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953668,1_DR0401_Baseline_lib40966,CD4 T cell,1,DR0401,TRUE,Baseline
