Gene,HRA_CD4Naive_LFC,RZV_D14_LFC,RZV_D74_LFC,RZV_D365_LFC,Direction
PAM16,0.068,0.7,0.5,0.1,Concordant Up
PAFAH2,0.14,1.0,-0.5,1.0,Concordant Up
PAFAH1B1,0.577,0.7,0.3,0.2,Concordant Up
P2RY11,0.186,0.6,0.6,0.4,Concordant Up
P2RY10,0.305,1.0,1.3,0.3,Concordant Up
P2RX7,0.265,1.9,-1.6,-2.8,Concordant Up
P2RX5,0.268,2.1,1.2,0.4,Concordant Up
OXSM,0.332,0.8,0.6,-0.5,Concordant Up
OXR1,0.387,0.9,1.7,1.0,Concordant Up
OVGP1,0.046,2.3,0.2,0.9,Concordant Up
OTUD3,0.359,0.8,0.6,-0.2,Concordant Up
OSTF1,0.853,0.8,0.6,0.5,Concordant Up
OSTC,0.994,0.2,0.1,0.2,Concordant Up
OSGEPL1,0.369,2.0,1.5,0.2,Concordant Up
OSBPL11,0.309,1.3,1.0,1.6,Concordant Up
ORMDL3,0.737,0.6,-0.2,-1.1,Concordant Up
ORC6,0.03,1.2,1.4,1.1,Concordant Up
ORC5,0.48,1.0,0.6,0.1,Concordant Up
OIP5-AS1,2.357,0.7,0.3,0.1,Concordant Up
SLC35B3,0.237,0.8,0.2,-0.8,Concordant Up
ZBTB48,0.249,2.7,1.8,2.7,Concordant Up
SLC35D2,0.18,3.1,2.9,1.6,Concordant Up
YIPF1,0.181,0.9,0.2,0.6,Concordant Up
YEATS4,0.587,0.9,0.4,0.6,Concordant Up
YBX3,0.034,0.7,-0.2,-1.2,Concordant Up
YBEY,0.647,1.6,1.8,1.1,Concordant Up
XYLT2,0.101,1.0,-0.8,-1.2,Concordant Up
XXYLT1-AS2,0.04,2.6,1.1,1.3,Concordant Up
XRCC1,0.358,0.7,0.0,0.8,Concordant Up
XKR9,0.035,1.1,-1.2,-0.4,Concordant Up
WSB2,0.122,0.6,0.9,0.1,Concordant Up
WIPI1,0.087,2.8,1.6,2.2,Concordant Up
WDSUB1,0.053,1.0,1.6,1.0,Concordant Up
WDR91,0.161,2.3,-0.2,2.6,Concordant Up
WDR81,0.027,1.3,1.7,-0.3,Concordant Up
YIPF3,0.679,1.2,1.0,1.0,Concordant Up
WDR76,0.312,1.5,2.4,1.9,Concordant Up
WDR59,0.191,0.6,0.6,-0.0,Concordant Up
WDR48,0.376,0.6,0.2,-0.2,Concordant Up
WDR47,0.185,1.0,1.9,3.1,Concordant Up
WDR41,0.194,1.0,1.3,1.5,Concordant Up
WDR26,0.023,0.7,0.2,-0.5,Concordant Up
WDR24,0.149,3.1,4.3,2.9,Concordant Up
WDR11,0.587,1.7,1.0,1.1,Concordant Up
WDHD1,0.107,1.2,1.2,0.8,Concordant Up
WDFY1,0.908,0.8,0.7,0.7,Concordant Up
WDCP,0.274,3.1,3.1,2.5,Concordant Up
WBP4,0.325,0.6,0.6,0.5,Concordant Up
WBP2,0.2,0.8,0.6,0.4,Concordant Up
WBP1L,0.133,1.8,2.4,0.8,Concordant Up
WDR5B,0.403,1.8,1.1,1.6,Concordant Up
YLPM1,0.621,1.0,0.6,0.3,Concordant Up
ZBED5-AS1,0.325,0.9,0.7,-3.4,Concordant Up
ZBTB1,0.715,0.9,0.4,0.8,Concordant Up
ZKSCAN1,0.665,1.0,0.5,0.2,Concordant Up
ZHX1-C8orf76,0.054,3.2,3.8,1.9,Concordant Up
ZGRF1,0.116,0.9,-1.1,-2.2,Concordant Up
ZFYVE26,0.103,1.8,1.0,1.7,Concordant Up
ZFYVE19,0.093,0.9,1.2,0.2,Concordant Up
ZFYVE1,0.097,0.9,-0.1,-0.6,Concordant Up
ZFP64,0.158,1.9,-1.2,1.4,Concordant Up
ZFP41,0.087,1.1,2.3,2.2,Concordant Up
ZFP14,0.415,2.5,-1.8,2.1,Concordant Up
ZFAT,0.087,2.9,1.8,1.4,Concordant Up
ZFAND4,0.071,0.8,1.1,1.3,Concordant Up
ZEB2,0.126,3.2,3.6,3.0,Concordant Up
ZDHHC21,0.289,1.5,1.2,0.6,Concordant Up
ZDHHC13,0.274,0.8,0.9,0.6,Concordant Up
ZCWPW1,0.035,0.7,1.0,-0.5,Concordant Up
ZCRB1,0.792,1.1,0.8,0.6,Concordant Up
ZCCHC9,0.658,0.6,0.6,0.8,Concordant Up
ZCCHC17,0.401,0.9,0.1,0.7,Concordant Up
ZC3HAV1L,0.043,3.9,3.5,2.6,Concordant Up
ZC3H14,0.721,1.4,1.0,0.5,Concordant Up
ZBTB7B,0.235,1.3,0.2,-0.5,Concordant Up
ZBTB5,0.031,2.1,1.6,1.8,Concordant Up
MINDY1,0.388,2.0,0.0,0.9,Concordant Up
ZBTB4,0.488,0.9,0.6,-0.1,Concordant Up
ZBTB39,0.048,1.3,2.5,-1.5,Concordant Up
ZBTB38,0.382,1.5,1.7,1.3,Concordant Up
ZBTB37,0.475,3.7,3.1,2.5,Concordant Up
ZBTB32,0.029,0.8,0.7,0.2,Concordant Up
ZBTB3,0.18,1.9,0.9,-0.5,Concordant Up
WASHC3,0.821,1.0,0.7,-0.1,Concordant Up
WAS,0.282,0.8,0.2,0.8,Concordant Up
VWA5A,0.164,1.2,2.5,-1.6,Concordant Up
VRK3,0.34,0.9,0.7,0.9,Concordant Up
UNC45B,0.043,1.4,-1.6,-1.2,Concordant Up
UNC45A,0.316,0.7,1.0,0.3,Concordant Up
UNC119B,0.006,1.2,-0.7,0.5,Concordant Up
UGDH,0.187,1.5,1.5,1.1,Concordant Up
UFSP2,0.547,1.4,-0.1,0.5,Concordant Up
UFSP1,0.035,0.7,-0.2,0.1,Concordant Up
UEVLD,0.195,1.1,1.5,0.2,Concordant Up
UCP3,0.117,3.0,-0.3,2.0,Concordant Up
UBXN8,0.127,1.1,1.0,0.8,Concordant Up
UBXN7,0.394,0.7,0.7,-0.2,Concordant Up
UBXN6,0.207,0.9,-0.2,0.1,Concordant Up
UBR7,0.365,1.2,0.8,1.5,Concordant Up
UBL7,0.622,0.6,0.9,0.7,Concordant Up
UBL4A,0.244,2.2,1.8,1.9,Concordant Up
UBE3B,0.209,1.2,0.3,-0.0,Concordant Up
UBE2V2,0.753,0.7,0.3,0.8,Concordant Up
UBE2J2,0.157,0.7,0.8,0.5,Concordant Up
UBE2H,0.213,1.1,1.5,0.8,Concordant Up
UBASH3B,0.301,0.7,1.3,1.2,Concordant Up
UBASH3A,0.379,2.5,1.3,1.0,Concordant Up
UBAC1,0.121,0.6,1.0,0.8,Concordant Up
UBA7,0.181,4.1,4.0,-1.2,Concordant Up
TYW1B,0.065,0.8,0.4,1.0,Concordant Up
TYMS,0.024,3.6,3.0,-0.1,Concordant Up
TXNRD2,0.064,2.9,3.3,1.4,Concordant Up
TXNDC9,0.902,0.6,0.4,0.8,Concordant Up
TWF2,1.824,1.2,0.9,0.7,Concordant Up
TUT1,0.363,1.1,-2.7,0.1,Concordant Up
TULP3,0.183,2.5,3.8,2.3,Concordant Up
UNK,0.129,0.8,1.1,0.3,Concordant Up
ZKSCAN3,0.244,1.8,0.6,3.2,Concordant Up
UNKL,0.065,1.3,4.6,-0.9,Concordant Up
UROS,0.159,0.6,0.3,0.3,Concordant Up
VPS8,0.127,1.0,1.5,0.8,Concordant Up
VPS54,0.036,0.6,0.9,0.7,Concordant Up
VPS53,0.362,0.7,0.4,1.0,Concordant Up
VPS52,0.312,2.7,2.3,2.2,Concordant Up
VPS45,0.267,0.7,0.2,0.8,Concordant Up
VPS39,0.303,1.1,0.9,-0.0,Concordant Up
VPS33B,0.292,0.7,1.4,0.1,Concordant Up
VPS33A,0.711,0.7,0.3,0.5,Concordant Up
VPS18,0.041,1.3,1.5,-0.7,Concordant Up
VPS16,0.458,0.8,1.0,0.7,Concordant Up
VMAC,0.415,1.6,2.2,0.5,Concordant Up
VIPAS39,0.254,1.4,1.0,0.4,Concordant Up
VIM-AS1,0.272,1.8,4.5,2.9,Concordant Up
VILL,0.119,2.7,-0.8,-0.6,Concordant Up
VDR,0.077,1.7,1.8,0.7,Concordant Up
VAV2,0.009,0.7,-0.2,0.3,Concordant Up
VAT1,0.128,1.5,3.8,3.0,Concordant Up
VASH1,0.007,0.7,2.4,-1.1,Concordant Up
VANGL1,0.093,1.4,4.4,2.7,Concordant Up
VAMP5,0.813,1.5,1.2,0.3,Concordant Up
UTP14C,0.475,1.2,-0.0,0.5,Concordant Up
USP54,0.054,1.1,-1.2,-0.6,Concordant Up
USP5,0.235,2.5,1.5,2.6,Concordant Up
USP48,0.434,0.8,0.9,0.6,Concordant Up
USP45,0.232,0.7,0.9,-0.4,Concordant Up
USP18,0.051,1.9,-0.3,2.3,Concordant Up
USP13,0.133,1.8,1.8,1.7,Concordant Up
USF3,0.44,0.6,0.2,-0.2,Concordant Up
USF1,0.048,1.1,-0.7,-0.9,Concordant Up
UPF3A,0.332,1.4,0.6,0.5,Concordant Up
ZKSCAN4,0.065,2.3,5.9,1.7,Concordant Up
ZKSCAN5,0.087,1.1,0.9,-0.6,Concordant Up
ZMAT3,0.564,1.5,0.7,0.8,Concordant Up
ZNF713,0.036,1.7,-1.7,-0.8,Concordant Up
ZNF71,0.171,1.3,0.3,1.5,Concordant Up
ZNF708,0.498,1.2,1.6,1.7,Concordant Up
ZNF701,0.2,0.6,0.2,-0.8,Concordant Up
ZNF700,0.269,2.7,3.5,1.7,Concordant Up
ZNF692,0.224,0.8,1.0,1.2,Concordant Up
ZNF689,0.094,0.7,1.0,-0.2,Concordant Up
ZNF688,0.151,0.9,0.8,0.9,Concordant Up
ZNF687,0.018,2.6,4.5,2.0,Concordant Up
ZNF678,0.245,1.8,-2.6,2.4,Concordant Up
ZNF674,0.119,3.0,0.6,-2.0,Concordant Up
ZNF671,0.18,4.0,3.1,0.7,Concordant Up
ZNF66,0.072,1.0,-1.4,1.8,Concordant Up
ZNF653,0.116,1.5,1.0,0.5,Concordant Up
ZNF649,0.295,1.4,1.1,1.7,Concordant Up
ZNF646,0.262,1.6,0.3,-1.2,Concordant Up
ZNF621,0.336,0.7,1.3,-2.8,Concordant Up
ZNF619,0.187,2.1,-1.1,-0.7,Concordant Up
ZNF616,0.233,2.6,1.1,2.9,Concordant Up
ZNF615,0.295,1.1,0.4,1.5,Concordant Up
ZNF613,0.144,2.6,2.1,2.4,Concordant Up
ZNF592,0.049,1.1,0.9,0.1,Concordant Up
ZNF585A,0.323,2.0,1.8,0.5,Concordant Up
ZNF571,0.219,1.5,-0.7,2.3,Concordant Up
ZNF552,0.049,0.8,0.8,0.2,Concordant Up
ZNF550,0.381,1.0,1.1,0.9,Concordant Up
ZNF547,0.036,1.2,-0.6,-0.4,Concordant Up
ZNF543,0.135,1.9,0.8,2.0,Concordant Up
ZNF540,0.101,1.7,-2.7,0.3,Concordant Up
ZNF714,0.36,2.9,2.5,2.7,Concordant Up
ZNF527,0.221,0.7,-0.0,1.2,Concordant Up
ZNF724,0.073,2.1,2.7,2.0,Concordant Up
ZNF738,0.087,1.7,0.9,1.0,Concordant Up
ZZEF1,0.47,1.2,1.2,0.3,Concordant Up
ZWINT,0.168,1.4,2.4,1.9,Concordant Up
ZWILCH,0.142,0.9,0.3,1.1,Concordant Up
ZSWIM7,0.669,1.1,0.3,0.4,Concordant Up
ZSWIM3,0.106,2.8,-1.3,1.1,Concordant Up
ZSWIM1,0.224,3.1,3.3,2.2,Concordant Up
ZSCAN9,0.023,1.4,1.1,3.8,Concordant Up
ZSCAN32,0.243,2.2,1.8,1.6,Concordant Up
ZSCAN30,0.344,0.9,2.1,2.3,Concordant Up
ZSCAN29,0.28,1.2,-0.2,0.9,Concordant Up
ZSCAN26,0.609,0.6,-0.2,2.8,Concordant Up
ZSCAN22,0.024,0.8,1.4,-0.3,Concordant Up
ZSCAN21,0.112,2.0,2.7,1.0,Concordant Up
ZSCAN16,0.102,0.8,0.2,-1.4,Concordant Up
ZNHIT1,0.424,0.8,0.4,0.4,Concordant Up
ZNF92,0.617,1.1,0.6,0.8,Concordant Up
ZNF85,0.18,3.7,2.4,3.3,Concordant Up
ZNF839,0.151,2.7,1.3,-1.0,Concordant Up
ZNF829,0.176,0.9,2.1,-0.2,Concordant Up
ZNF816,0.375,0.6,0.3,0.8,Concordant Up
ZNF81,0.246,1.8,2.8,2.7,Concordant Up
ZNF79,0.076,0.7,0.2,0.2,Concordant Up
ZNF786,0.173,2.0,0.6,0.9,Concordant Up
ZNF785,0.019,1.4,1.6,1.6,Concordant Up
ZNF780B,0.249,0.8,0.1,1.5,Concordant Up
ZNF780A,0.479,1.5,0.1,1.6,Concordant Up
ZNF773,0.255,0.8,-0.2,-1.9,Concordant Up
ZNF763,0.052,1.9,-0.9,2.3,Concordant Up
ZNF747,0.375,4.0,3.7,-0.7,Concordant Up
ZNF736,0.218,1.7,2.5,0.4,Concordant Up
TUG1,0.287,0.7,0.6,-0.4,Concordant Up
ZNF518A,0.278,1.2,1.7,0.9,Concordant Up
ZNF512B,0.013,0.7,0.6,-1.2,Concordant Up
ZNF253,0.283,0.7,0.5,1.1,Concordant Up
ZNF235,0.179,4.0,4.0,4.8,Concordant Up
ZNF234,0.207,1.4,1.5,0.5,Concordant Up
ZNF230,0.215,0.9,0.6,0.1,Concordant Up
ZNF227,0.295,1.1,0.8,0.6,Concordant Up
ZNF225,0.105,2.6,2.2,1.5,Concordant Up
ZNF224,0.46,1.6,1.3,1.2,Concordant Up
ZNF222,0.138,0.7,-0.5,-0.1,Concordant Up
ZNF212,0.043,2.2,2.3,1.5,Concordant Up
ZNF211,0.229,1.1,0.6,0.6,Concordant Up
ZNF200,0.714,1.9,1.1,1.1,Concordant Up
ZNF2,0.178,3.5,5.0,2.8,Concordant Up
ZNF197,0.349,2.6,1.3,-0.8,Concordant Up
ZNF19,0.103,2.9,0.1,0.3,Concordant Up
ZNF184,0.412,1.9,3.0,4.4,Concordant Up
ZNF18,0.014,2.2,3.4,0.0,Concordant Up
ZNF175,0.169,5.1,6.3,4.7,Concordant Up
ZNF174,0.377,3.9,2.7,3.6,Concordant Up
ZNF17,0.159,1.3,1.4,1.1,Concordant Up
ZNF16,0.073,1.0,2.1,1.6,Concordant Up
ZNF138,0.387,1.7,1.7,2.3,Concordant Up
ZNF133,0.034,3.0,2.5,3.9,Concordant Up
ZNF131,0.11,0.6,0.6,0.7,Concordant Up
ZNF106,0.435,1.0,0.9,0.7,Concordant Up
ZNF100,0.408,0.8,1.0,0.5,Concordant Up
ZNF10,0.134,0.7,0.7,2.3,Concordant Up
ZMYND10,0.016,2.2,-1.1,0.9,Concordant Up
ZMYM5,0.297,0.6,-0.2,-0.2,Concordant Up
ZMAT5,0.05,1.1,0.9,1.3,Concordant Up
ZNF254,0.579,2.0,1.8,0.7,Concordant Up
ZNF514,0.272,1.6,2.2,1.2,Concordant Up
ZNF276,0.226,1.3,2.0,0.7,Concordant Up
ZNF292,0.754,0.8,0.8,0.3,Concordant Up
ZNF510,0.445,1.3,-1.2,1.0,Concordant Up
ZNF501,0.15,3.2,0.7,1.2,Concordant Up
ZNF500,0.28,2.2,1.4,-1.3,Concordant Up
ZNF486,0.407,1.4,-0.1,0.5,Concordant Up
ZNF484,0.333,0.6,0.5,1.3,Concordant Up
ZNF45,0.244,0.8,1.0,1.1,Concordant Up
ZNF445,0.268,1.2,1.0,-0.6,Concordant Up
ZNF441,0.13,1.5,-1.4,2.2,Concordant Up
ZNF440,0.098,1.5,4.5,3.9,Concordant Up
ZNF433,0.02,0.7,0.3,0.2,Concordant Up
ZNF43,0.488,1.5,2.1,2.7,Concordant Up
ZNF426,0.34,1.1,1.2,0.3,Concordant Up
ZNF419,0.313,2.1,2.2,1.7,Concordant Up
ZNF417,0.187,1.9,-0.1,1.4,Concordant Up
ZNF416,0.092,1.5,1.2,-2.7,Concordant Up
ZNF41,0.034,2.5,0.3,3.0,Concordant Up
ZNF382,0.216,2.1,3.2,1.6,Concordant Up
ZNF362,0.141,1.2,0.5,0.6,Concordant Up
ZNF354C,0.15,1.5,-0.5,2.4,Concordant Up
ZNF345,0.047,0.7,0.4,1.7,Concordant Up
ZNF343,0.114,0.6,0.9,-2.7,Concordant Up
ZNF341,0.022,2.1,0.5,1.5,Concordant Up
ZNF33B,0.76,1.3,0.9,0.3,Concordant Up
ZNF324,0.022,1.2,0.9,-0.6,Concordant Up
ZNF322,0.308,1.7,0.3,1.4,Concordant Up
ZNF318,0.359,3.1,0.6,1.3,Concordant Up
ZNF304,0.178,1.9,1.5,-0.8,Concordant Up
ZNF300,0.062,1.7,0.2,-2.0,Concordant Up
ZNF30,0.081,1.3,-3.6,-1.1,Concordant Up
ZNF280D,0.527,1.4,2.3,0.5,Concordant Up
SLC35D1,0.318,0.6,0.9,-0.7,Concordant Up
TUBGCP5,0.111,1.7,1.4,1.1,Concordant Up
TUBD1,0.29,0.8,0.2,-0.1,Concordant Up
SYNJ1,0.082,0.7,1.4,0.4,Concordant Up
SYNE1,0.864,0.8,1.2,-0.7,Concordant Up
SYCP2,0.194,1.2,1.1,3.3,Concordant Up
SWT1,0.1,1.3,1.3,2.0,Concordant Up
SWI5,0.17,2.6,3.5,3.5,Concordant Up
SUV39H1,0.047,1.1,-2.3,1.5,Concordant Up
SUSD3,1.024,2.1,1.6,3.1,Concordant Up
SUMO4,0.024,0.8,0.9,0.4,Concordant Up
SUGT1,0.565,0.8,0.7,0.5,Concordant Up
STX2,0.043,1.4,1.3,1.1,Concordant Up
STRN4,0.043,0.7,0.6,0.0,Concordant Up
STRIP2,0.019,3.1,4.7,2.5,Concordant Up
STRADB,0.229,1.8,-0.7,-0.6,Concordant Up
SYT11,0.237,2.1,3.4,1.9,Concordant Up
STK39,0.065,0.7,1.2,0.2,Concordant Up
STIMATE,0.002,0.8,0.7,0.9,Concordant Up
STAT5B,0.394,0.7,1.0,0.1,Concordant Up
STAT2,0.826,0.7,0.5,0.1,Concordant Up
STARD3,0.077,1.2,1.7,0.6,Concordant Up
STAMBPL1,0.483,2.5,2.6,1.4,Concordant Up
STAMBP,0.643,0.8,0.7,0.4,Concordant Up
STAM,0.325,1.5,1.0,1.0,Concordant Up
STAG3,0.052,3.3,1.5,-0.0,Concordant Up
ST6GALNAC1,0.307,3.1,1.6,0.2,Concordant Up
ST6GAL1,1.59,1.5,1.6,0.0,Concordant Up
ST20,0.356,0.7,1.3,1.2,Concordant Up
SSH1,0.343,0.9,1.0,0.8,Concordant Up
SS18L1,0.144,1.5,1.9,0.2,Concordant Up
STK16,0.105,3.4,3.1,1.0,Concordant Up
SYTL1,0.467,3.2,3.7,2.3,Concordant Up
SZT2,0.103,1.2,1.0,1.4,Concordant Up
TADA3,0.262,0.9,0.4,-0.7,Concordant Up
TBX19,0.002,2.1,2.0,1.2,Concordant Up
TBL2,0.183,0.7,0.7,-0.1,Concordant Up
TBL1X,0.676,0.8,0.3,0.6,Concordant Up
TBK1,0.45,0.9,0.9,1.2,Concordant Up
TBCK,0.371,1.7,1.3,1.3,Concordant Up
TBCEL,0.226,3.5,1.4,-0.4,Concordant Up
TBCD,0.074,1.3,1.4,0.6,Concordant Up
TBCCD1,0.156,1.7,1.6,0.9,Concordant Up
TBC1D9B,0.126,0.8,-0.7,0.0,Concordant Up
TBC1D5,0.184,1.1,3.0,1.2,Concordant Up
TBC1D4,0.89,1.5,1.5,0.2,Concordant Up
TBC1D31,0.096,0.6,0.6,0.4,Concordant Up
TBC1D22B,0.11,1.1,1.3,1.2,Concordant Up
TBC1D17,0.109,1.9,0.4,0.8,Concordant Up
TBC1D14,0.047,0.6,0.1,0.2,Concordant Up
TBC1D13,0.039,0.7,1.3,2.6,Concordant Up
TBC1D10C,0.142,1.1,1.2,-0.1,Concordant Up
TBC1D10A,0.83,2.4,2.7,2.5,Concordant Up
TAX1BP3,0.256,1.3,0.9,0.5,Concordant Up
TATDN3,0.177,1.0,0.1,0.9,Concordant Up
TARS2,0.286,1.3,-0.2,1.0,Concordant Up
TAP2,1.504,0.7,-0.6,0.1,Concordant Up
TAOK2,0.096,0.6,0.4,-2.0,Concordant Up
TALDO1,0.562,0.7,0.3,0.6,Concordant Up
TAF8,0.096,1.2,0.5,0.3,Concordant Up
TAF6,0.098,0.6,0.9,1.1,Concordant Up
TAF4,0.133,0.9,0.9,0.9,Concordant Up
TAF11,0.292,0.7,0.6,0.7,Concordant Up
TAF1,0.627,0.7,0.7,-0.2,Concordant Up
SRR,0.059,0.6,0.5,-0.5,Concordant Up
SRGAP3,0.01,1.0,1.2,-0.6,Concordant Up
SRGAP2,0.121,6.1,5.8,5.6,Concordant Up
SREBF2,0.18,0.7,0.6,-0.2,Concordant Up
SNAPC3,0.651,1.4,1.6,0.8,Concordant Up
SNAP23,0.477,0.7,1.0,0.8,Concordant Up
SMUG1,0.246,1.1,0.2,1.6,Concordant Up
SMTN,0.035,2.8,3.3,1.1,Concordant Up
SMS,0.115,0.8,0.8,0.9,Concordant Up
SMOX,0.011,1.0,1.7,0.6,Concordant Up
SMG1P4,0.157,1.0,1.0,-0.2,Concordant Up
SMCO4,0.357,2.2,2.7,1.9,Concordant Up
SMC6,0.55,0.8,0.5,-0.2,Concordant Up
SMC2,0.656,0.9,0.6,0.2,Concordant Up
SMC1B,0.003,1.3,-0.7,0.9,Concordant Up
SMARCAL1,0.247,1.0,1.7,1.2,Concordant Up
SMARCA2,0.255,0.6,0.9,0.0,Concordant Up
SMAD3,0.034,0.8,0.7,0.1,Concordant Up
SLX4IP,0.217,2.8,1.5,1.1,Concordant Up
SLX4,0.189,1.2,1.8,1.2,Concordant Up
SLC9B1,0.019,1.9,1.1,1.0,Concordant Up
SLC7A7,0.13,2.9,2.8,1.4,Concordant Up
SLC52A2,0.001,1.1,0.9,1.0,Concordant Up
SLC4A2,0.125,1.5,3.0,3.4,Concordant Up
SLC48A1,0.092,2.5,2.6,1.0,Concordant Up
SLC44A2,0.187,1.1,1.5,-0.0,Concordant Up
SLC43A1,0.051,3.6,2.4,1.3,Concordant Up
SLC41A3,0.098,0.6,-0.8,1.2,Concordant Up
SLC38A6,0.255,2.1,1.8,1.3,Concordant Up
SLC37A4,0.036,2.1,-0.0,-1.0,Concordant Up
SLC35F5,0.113,0.8,0.4,0.6,Concordant Up
SLC35E3,0.193,1.5,0.2,-2.0,Concordant Up
SLC35E2B,0.304,0.8,2.1,0.6,Concordant Up
SNHG11,0.084,4.3,0.8,0.5,Concordant Up
TCAF1,0.201,0.7,0.2,-0.1,Concordant Up
SNHG19,0.281,1.6,1.8,2.3,Concordant Up
SNORD13E,0.025,1.4,0.4,0.7,Concordant Up
SRD5A3,0.01,1.4,0.3,0.3,Concordant Up
SRD5A1,0.018,4.9,2.7,3.7,Concordant Up
SRBD1,0.179,0.8,-0.8,0.9,Concordant Up
SQOR,0.408,1.5,2.6,1.9,Concordant Up
SPTLC2,0.275,0.6,1.0,1.1,Concordant Up
SPSB1,0.126,0.7,3.3,2.2,Concordant Up
SPR,0.023,1.0,4.0,0.2,Concordant Up
SPPL2A,0.39,0.9,0.8,0.5,Concordant Up
SPOPL,0.242,1.3,0.6,0.2,Concordant Up
SPNS1,0.118,2.0,2.2,1.9,Concordant Up
SPHK2,0.137,3.7,3.4,1.0,Concordant Up
SPG11,0.242,1.1,0.9,0.5,Concordant Up
SPC25,0.004,0.6,-1.1,1.0,Concordant Up
SPATA2L,0.028,0.7,0.5,0.3,Concordant Up
SPATA24,0.149,1.9,0.9,0.6,Concordant Up
SPAG5,0.168,2.2,3.7,2.6,Concordant Up
SP4,0.685,1.9,1.6,-0.3,Concordant Up
SP140,0.491,0.7,1.2,0.0,Concordant Up
SP110,0.688,0.6,0.1,0.2,Concordant Up
SOCS6,0.034,2.8,3.0,2.4,Concordant Up
SOCS5,0.442,0.8,1.9,0.8,Concordant Up
SNX20,0.627,1.7,0.8,0.7,Concordant Up
SNX16,0.188,1.0,-0.1,0.7,Concordant Up
SNX12,0.219,0.8,0.3,-0.4,Concordant Up
SNRPD3,2.522,0.0,-0.1,0.1,Concordant Up
SNRNP35,0.345,1.2,0.9,0.6,Concordant Up
SNRNP25,0.131,0.6,0.5,0.6,Concordant Up
SNORD72,0.003,1.5,3.0,1.2,Concordant Up
SNORD17,0.029,1.5,1.9,-1.6,Concordant Up
SNORA2B,0.006,1.5,0.0,0.9,Concordant Up
TCAF2,0.088,2.6,1.5,0.7,Concordant Up
TCAP,0.063,2.2,2.8,0.3,Concordant Up
TCEAL8,0.885,1.7,1.1,1.5,Concordant Up
TRGV10,0.023,1.2,0.8,0.3,Concordant Up
TRGC2,0.038,1.5,1.3,0.3,Concordant Up
TRGC1,0.044,0.9,1.3,0.6,Concordant Up
TRBV6-5,0.022,1.5,2.3,3.0,Concordant Up
TRBV5-6,0.003,0.7,1.6,1.6,Concordant Up
TRBV24-1,0.026,2.2,1.9,0.7,Concordant Up
TRAV8-6,0.085,4.9,3.0,4.1,Concordant Up
TRAV5,0.13,1.8,0.7,1.6,Concordant Up
TRAV38-1,0.038,0.7,0.8,0.5,Concordant Up
TRAV3,0.029,1.5,2.6,3.1,Concordant Up
TRAV18,0.016,1.1,-2.7,-0.2,Concordant Up
TRAV13-1,0.156,0.7,1.3,0.4,Concordant Up
TRAV12-2,0.1,1.9,0.4,1.7,Concordant Up
TRAPPC6B,0.574,1.1,0.8,1.3,Concordant Up
TRAPPC11,0.575,0.8,0.7,0.2,Concordant Up
TRAJ8,0.013,1.3,0.2,-0.4,Concordant Up
TRAF3IP3,0.784,2.9,3.2,1.4,Concordant Up
TRAF3IP2,0.336,1.0,1.5,2.0,Concordant Up
TRAF2,0.179,0.7,0.2,0.4,Concordant Up
TPX2,0.05,7.5,6.4,2.4,Concordant Up
TPK1,0.12,1.4,1.0,0.6,Concordant Up
TPGS2,0.084,0.6,1.1,0.9,Concordant Up
TP53RK,0.436,0.6,0.5,0.8,Concordant Up
TP53,0.377,0.8,0.4,0.8,Concordant Up
TOX,0.078,1.3,2.2,0.5,Concordant Up
TOR2A,0.402,2.1,5.5,5.9,Concordant Up
TOP3B,0.202,1.0,0.7,1.6,Concordant Up
TOP2A,0.087,7.1,5.9,1.0,Concordant Up
TOMM40L,0.145,1.1,4.0,0.5,Concordant Up
TRGV4,0.002,1.7,-0.1,-0.5,Concordant Up
TNS4,0.05,2.1,1.3,-0.7,Concordant Up
TRIB3,0.138,1.6,2.2,0.8,Concordant Up
TRIM16,0.121,2.3,3.4,-3.2,Concordant Up
TTN,1.558,0.7,1.6,-0.5,Concordant Up
TTLL5,0.086,2.0,1.4,1.3,Concordant Up
TTLL3,0.097,0.8,1.3,-2.8,Concordant Up
TTL,0.064,0.6,0.9,0.5,Concordant Up
TTI1,0.241,0.9,0.8,0.8,Concordant Up
TTC39B,0.581,1.8,1.6,1.3,Concordant Up
TTC38,0.005,1.1,1.1,2.0,Concordant Up
TTC32,0.107,0.7,-0.0,0.0,Concordant Up
TTC28-AS1,0.349,2.6,3.8,-0.7,Concordant Up
TTC17,0.162,0.6,0.7,0.6,Concordant Up
TTC13,0.256,5.4,2.5,4.6,Concordant Up
TTC12,0.203,0.7,2.4,-0.9,Concordant Up
TSTD2,0.21,0.6,0.8,0.3,Concordant Up
TSPYL4,0.142,1.7,-1.2,1.3,Concordant Up
TSPOAP1-AS1,0.08,0.6,0.5,-1.4,Concordant Up
TSPAN2,0.334,0.9,3.9,0.6,Concordant Up
TSPAN14,0.227,1.1,1.3,1.4,Concordant Up
TSC1,0.264,0.7,-0.7,0.7,Concordant Up
TRPV2,0.249,1.2,-1.4,-0.6,Concordant Up
TRPS1,0.135,2.0,1.3,0.5,Concordant Up
TRMT10B,0.248,0.9,0.7,0.5,Concordant Up
TRMO,0.034,0.9,0.4,0.4,Concordant Up
TRIM8,0.013,1.3,0.7,0.1,Concordant Up
