gene_id,ensembl_id,symbol,log2FC_HZ,padj_HZ
ENSG00000100258,ENSG00000100258,PSME2,0.489873691925567,0.0004941744098448
ENSG00000198416,ENSG00000198416,SDF2L1,-0.582628073891503,0.0005565541055502
ENSG00000118689,ENSG00000118689,SNHG1,-0.52193848584377,0.0005565541055502
ENSG00000006652,ENSG00000006652,PPP3CA,-0.507085238996376,0.0005565541055502
ENSG00000100911,ENSG00000100911,BMP6,0.645896688925577,0.0005565541055502
ENSG00000255717,ENSG00000255717,ZNF658B,0.443969759253156,0.0005565541055502
ENSG00000228340,ENSG00000228340,BANP,-0.371765451194165,0.0005588860180029
ENSG00000164346,ENSG00000164346,GALNT14,0.358314215623069,0.0005988327873751
ENSG00000128228,ENSG00000128228,IL10RA,0.653542116195159,0.000601865816247
ENSG00000076356,ENSG00000076356,MAPK1,-0.346861027771078,0.0006272282456341
ENSG00000169241,ENSG00000169241,RUNX2,0.52921630047777,0.0006348272935963
ENSG00000158089,ENSG00000158089,H1-10,-0.566739315454279,0.000645567355894
ENSG00000184897,ENSG00000184897,TMCC3,0.353449848765736,0.0007080202702093
ENSG00000143793,ENSG00000143793,MRPS18B,0.430144418693926,0.0007182300441081
ENSG00000172765,ENSG00000172765,PLXNA2,-0.552946245366905,0.0007386866727132
ENSG00000172530,ENSG00000172530,NSA2,-0.263689516039422,0.0007607938985417
ENSG00000138814,ENSG00000138814,TMCC1,-0.415372093342286,0.000770041137671
ENSG00000204568,ENSG00000204568,SLC50A1,0.388547067954119,0.0007869413207316
ENSG00000130770,ENSG00000130770,PSMB9,0.412820367711944,0.0007869413207316
ENSG00000285534,ENSG00000285534,APOBEC3G,-0.773539884788362,0.0007905635056137
ENSG00000240065,ENSG00000240065,MT-TY,0.402745881431415,0.0007905635056137
ENSG00000210144,ENSG00000210144,NIBAN1,0.613318538672979,0.0007943186978084
ENSG00000164687,ENSG00000164687,,1.26888256070351,
ENSG00000169020,ENSG00000169020,SPOPL-DT,0.426111835969509,0.0008743596312061
ENSG00000173207,ENSG00000173207,SLCO3A1,0.825271865742676,
ENSG00000169627,ENSG00000169627,RAPGEF2,0.545424500618994,0.0009748647122335
ENSG00000057704,ENSG00000057704,RALGAPA2,-0.391580752707038,0.0009841035615323
ENSG00000087903,ENSG00000087903,TBXAS1,-0.562239426093829,0.0009997666592455
ENSG00000181826,ENSG00000181826,CHCHD2,-0.415352982339441,0.0009997666592455
ENSG00000135842,ENSG00000135842,RELL1,-0.468313515255744,0.0009997666592455
ENSG00000106714,ENSG00000106714,TRIM69,-0.742122384521925,0.0009997666592455
ENSG00000165650,ENSG00000165650,ATP5ME,-0.308689384672245,0.0010021303360515
ENSG00000228043,ENSG00000228043,TBL1X,-0.575679963367119,0.0010021303360515
ENSG00000109756,ENSG00000109756,CKS1B,-0.431888353405263,0.0010021303360515
ENSG00000138639,ENSG00000138639,BOLA2B,-0.490401729896236,0.0010021303360515
ENSG00000105486,ENSG00000105486,CD3E,0.397739309887096,0.0010021303360515
ENSG00000100030,ENSG00000100030,DNPH1,-0.3476266001501,0.0010087264046114
ENSG00000104499,ENSG00000104499,CNTNAP3,0.510638611908366,0.0010087264046114
ENSG00000124813,ENSG00000124813,PDZD8,-0.344007541813831,0.0010252849855628
ENSG00000112667,ENSG00000112667,RFX2,0.525709594639205,0.0010355898868969
ENSG00000106153,ENSG00000106153,GAB1,0.437309057811789,0.0010870074575496
ENSG00000188559,ENSG00000188559,GML,-0.325539634841277,0.0010933001883771
ENSG00000109458,ENSG00000109458,RNF126,-0.446081166852204,0.0010933001883771
ENSG00000088356,ENSG00000088356,PID1,0.575195434591635,0.0010933001883771
ENSG00000059377,ENSG00000059377,SNU13,-0.373595829246657,0.0011445743142598
ENSG00000197965,ENSG00000197965,CIAO2B,-0.454849594556309,0.0011445743142598
ENSG00000143575,ENSG00000143575,ASPM,0.441659747252637,0.0011445743142598
ENSG00000176463,ENSG00000176463,CHST11,-0.424658183693426,0.0011445743142598
ENSG00000169902,ENSG00000169902,ELMO1,-0.506108184440369,0.0011445743142598
ENSG00000101849,ENSG00000101849,LIG1,-0.379095564141068,0.0011505440343493
ENSG00000171310,ENSG00000171310,HAX1,-0.423062715863008,0.0011578726781797
ENSG00000116991,ENSG00000116991,CSF2RB,-0.45011383164628,0.0011578726781797
ENSG00000153823,ENSG00000153823,IQGAP2,-0.514879218279153,0.0011696992263606
ENSG00000066279,ENSG00000066279,GANAB,0.829387000533945,0.0011700616596671
ENSG00000198851,ENSG00000198851,MPZL1,0.323357148248392,0.0011700616596671
ENSG00000121152,ENSG00000121152,CD5,0.563511341339737,
ENSG00000100138,ENSG00000100138,NCAPH,0.303638497380467,0.0012046060836178
ENSG00000178075,ENSG00000178075,CASS4,-0.439993217375352,0.0012163573076158
ENSG00000110324,ENSG00000110324,ARHGAP24,0.249569572704429,0.0012163573076158
ENSG00000070423,ENSG00000070423,PLCB1,0.360872204282588,0.0012163573076158
ENSG00000185880,ENSG00000185880,PDRG1,0.442648001332103,0.0012242168772844
ENSG00000104738,ENSG00000104738,SSBP2,0.747318010616525,
ENSG00000182621,ENSG00000182621,AHCTF1,-0.422989576708345,0.001290436237469
ENSG00000286830,ENSG00000286830,CD8B,-0.461827911876726,0.0013043463399796
ENSG00000153207,ENSG00000153207,TPST1,-0.294395601678297,0.0013272156725772
ENSG00000166595,ENSG00000166595,SIPA1L2,0.386886506128283,0.0013553240412942
ENSG00000229119,ENSG00000229119,LINC02218,0.645812121655261,0.0015023402297442
ENSG00000282278,ENSG00000282278,GRAMD1C,-0.220140704998253,0.0015028603447883
ENSG00000100368,ENSG00000100368,EXT1,-0.35373506104971,0.0015028603447883
ENSG00000170525,ENSG00000170525,USP1,-0.295708502429365,0.0015028603447883
ENSG00000088325,ENSG00000088325,BASP1,0.523180518074665,0.0015028603447883
ENSG00000145687,ENSG00000145687,BCAS4,-0.344486994889814,0.0015028603447883
ENSG00000114656,ENSG00000114656,SLC45A4,-0.322301207775527,0.0015028603447883
ENSG00000077684,ENSG00000077684,PSMB6,-0.224347230847022,0.0015028603447883
ENSG00000151948,ENSG00000151948,RPS6KA5,-0.380405702806391,0.0015052969881613
ENSG00000197238,ENSG00000197238,,1.0379124307171,
ENSG00000249662,ENSG00000249662,CFAP92,-0.575403039599295,0.0015331032291046
ENSG00000124243,ENSG00000124243,RPLP0P9,0.316074150986117,0.0015331032291046
ENSG00000182197,ENSG00000182197,MBP,-0.471499547649682,0.0015331032291046
ENSG00000172116,ENSG00000172116,NCOA1,0.45811736113314,0.0015358937357326
ENSG00000089597,ENSG00000089597,PFKFB3,0.341443239870999,0.0015448103995848
ENSG00000142507,ENSG00000142507,MED13L,0.386826627254219,0.0015448103995848
