"symbol","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"H4C12","ENSG00000273542",6.43508555705381,1.14720422487593,0.331032898805829,3.46552934470974,0.000529188773620929,NA
"GBP5","ENSG00000154451",76.5486846594784,1.13932128418017,0.287933382488326,3.95689195304182,7.59312539231248e-05,0.00932752178400652
"TTK","ENSG00000112742",6.72226981999748,1.11762630379291,0.246967934912543,4.52539032724507,6.02841378193564e-06,NA
"ASPM","ENSG00000066279",41.0174950629283,1.11395047947024,0.222350632062861,5.00988222581403,5.44633551387247e-07,0.000456054751141831
"SMTNL1","ENSG00000214872",95.0510112628427,1.09505713388544,0.217237925394075,5.04081933161065,4.63542932202219e-07,0.000456054751141831
"HERC5","ENSG00000138646",350.211365110223,1.07487827427262,0.323871400922157,3.31884282221934,0.000903912924600879,0.0373146977460355
"RPSAP12","ENSG00000240087",7.74098250300241,1.0702673810904,0.343890078569899,3.11223686807487,0.00185675455086332,NA
"GZMA","ENSG00000145649",176.346653073183,1.06823338806847,0.229590813563508,4.65277060300579,3.27504526018796e-06,0.00133165547144324
"RNY1","ENSG00000201098",5.80359178008839,1.06095096873106,0.356235523251136,2.97822900717042,0.00289919277045643,NA
"CCNA2","ENSG00000145386",4.64454492761659,1.06004665305835,0.315036779114124,3.36483459499293,0.000765895579700979,NA
"MAD2L1","ENSG00000164109",3.10388556668883,1.04564910883011,0.395482705468603,2.64398188434342,0.00819370413202809,NA
"GGH","ENSG00000137563",7.47552253102582,1.04514140293541,0.255331139983779,4.09327825427719,4.25316812106092e-05,NA
"HES4","ENSG00000188290",3.72145157687655,1.03908903133649,0.491391147971089,2.11458638525907,0.034465215049468,NA
"HMGB3","ENSG00000029993",6.8666332134862,1.03637531385757,0.240297552198026,4.31288335806061,1.61139141561043e-05,NA
"RPL23P3","ENSG00000238015",6.65613218465677,1.03402329832481,0.469970889540432,2.20018584414015,0.0277937122317875,NA
"IL2","ENSG00000109471",1.67449791303262,-1.02785713727652,0.459505158153227,-2.23687834410287,0.0252942923041781,NA
"XAF1","ENSG00000132530",89.022090537673,1.02056765470797,0.236619400048769,4.31311910391803,1.60967344551934e-05,0.00359518125157584
"APOL4","ENSG00000100336",4.49112102606342,1.01767980140044,0.37795716405687,2.69257973701834,0.00709015792259081,NA
"RPS3P3","ENSG00000228205",6.128008345229,1.01638144556089,0.347973854229338,2.92085578616784,0.00349071369626007,NA
"MCM10","ENSG00000065328",16.6156410538305,1.01550834346549,0.17833400468286,5.69441787207897,1.2379355613596e-08,2.60453799457683e-05
"CENPF","ENSG00000117724",77.3903809472499,1.01332885771895,0.194590076538787,5.20750531447051,1.91396357980983e-07,0.000282137371299767
"CKS1B","ENSG00000173207",23.3058002282285,1.01160653143936,0.205343594454263,4.92640899818611,8.37545918237351e-07,0.000599592694974606
"TMPOP2","ENSG00000262904",2.55080998915957,1.01125403412739,0.459527135448684,2.20064051960717,0.0277614826893113,NA
"KIFC1","ENSG00000237649",17.5545420974175,1.00984501848582,0.205146166207114,4.92256344418491,8.54178589950935e-07,0.000599592694974606
"GBP6","ENSG00000183347",11.0968049621979,1.00957612844529,0.343718130136071,2.93722105390721,0.00331167951615869,NA
