Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Monosaccharide Biosynthetic Process (GO:0046364),1/7,0.028353412163333,0.1666635726891738,0,0,40.97119341563786,145.98068571220736,CHST15
GO_Biological_Process_2023,Cyclic Nucleotide Transport (GO:0070729),1/7,0.028353412163333,0.1666635726891738,0,0,40.97119341563786,145.98068571220736,ABCC5
GO_Biological_Process_2023,"Negative Regulation Of Complement Activation, Classical Pathway (GO:0045959)",1/7,0.028353412163333,0.1666635726891738,0,0,40.97119341563786,145.98068571220736,CR1
GO_Biological_Process_2023,Cellular Response To BMP Stimulus (GO:0071773),2/66,0.0300721790211449,0.1666635726891738,0,0,7.75546875,27.17636319898758,RUNX2;BMP6
GO_Biological_Process_2023,Negative Regulation Of Cellular Catabolic Process (GO:0031330),2/67,0.0309164203443298,0.1666635726891738,0,0,7.635769230769231,26.5455061147505,IL10RA;PLIN5
GO_Biological_Process_2023,Cdc42 Protein Signal Transduction (GO:0032488),1/8,0.0323385449223173,0.1666635726891738,0,0,35.116402116402114,120.50177299317812,RHOU
GO_Biological_Process_2023,"Regulation Of Complement Activation, Classical Pathway (GO:0030450)",1/8,0.0323385449223173,0.1666635726891738,0,0,35.116402116402114,120.50177299317812,CR1
GO_Biological_Process_2023,DNA Topological Change (GO:0006265),1/8,0.0323385449223173,0.1666635726891738,0,0,35.116402116402114,120.50177299317812,TOP2A
GO_Biological_Process_2023,Negative Regulation Of Lipase Activity (GO:0060192),1/8,0.0323385449223173,0.1666635726891738,0,0,35.116402116402114,120.50177299317812,PLIN5
GO_Biological_Process_2023,Regulation Of Epidermis Development (GO:0045682),1/8,0.0323385449223173,0.1666635726891738,0,0,35.116402116402114,120.50177299317812,KLF7
GO_Biological_Process_2023,"Fructose 1,6-Bisphosphate Metabolic Process (GO:0030388)",1/8,0.0323385449223173,0.1666635726891738,0,0,35.116402116402114,120.50177299317812,KHSRP
GO_Biological_Process_2023,N-acylphosphatidylethanolamine Metabolic Process (GO:0070292),1/8,0.0323385449223173,0.1666635726891738,0,0,35.116402116402114,120.50177299317812,PLAAT4
GO_Biological_Process_2023,Type B Pancreatic Cell Differentiation (GO:0003309),1/8,0.0323385449223173,0.1666635726891738,0,0,35.116402116402114,120.50177299317812,BMP6
GO_Biological_Process_2023,Negative Regulation Of Production Of Molecular Mediator Of Immune Response (GO:0002701),1/8,0.0323385449223173,0.1666635726891738,0,0,35.116402116402114,120.50177299317812,CR1
GO_Biological_Process_2023,Negative Regulation Of Regulated Secretory Pathway (GO:1903306),1/8,0.0323385449223173,0.1666635726891738,0,0,35.116402116402114,120.50177299317812,RAP1A
GO_Biological_Process_2023,Negative Regulation Of Triglyceride Metabolic Process (GO:0090209),1/8,0.0323385449223173,0.1666635726891738,0,0,35.116402116402114,120.50177299317812,PLIN5
GO_Biological_Process_2023,Positive Regulation Of Sequestering Of Triglyceride (GO:0010890),1/8,0.0323385449223173,0.1666635726891738,0,0,35.116402116402114,120.50177299317812,PLIN5
GO_Biological_Process_2023,Positive Regulation Of Smooth Muscle Cell Apoptotic Process (GO:0034393),1/8,0.0323385449223173,0.1666635726891738,0,0,35.116402116402114,120.50177299317812,E2F3
GO_Biological_Process_2023,Nucleoside Diphosphate Metabolic Process (GO:0009132),1/8,0.0323385449223173,0.1666635726891738,0,0,35.116402116402114,120.50177299317812,RRM2
GO_Biological_Process_2023,Peroxisomal Transport (GO:0043574),1/8,0.0323385449223173,0.1666635726891738,0,0,35.116402116402114,120.50177299317812,ZFAND6
GO_Biological_Process_2023,Positive Regulation Of ATP Biosynthetic Process (GO:2001171),1/8,0.0323385449223173,0.1666635726891738,0,0,35.116402116402114,120.50177299317812,PID1
GO_Biological_Process_2023,Multi-Pass Transmembrane Protein Insertion Into ER Membrane (GO:0160063),1/8,0.0323385449223173,0.1666635726891738,0,0,35.116402116402114,120.50177299317812,TMEM147
GO_Biological_Process_2023,Negative Regulation Of Chromosome Organization (GO:2001251),1/8,0.0323385449223173,0.1666635726891738,0,0,35.116402116402114,120.50177299317812,TOP2A
GO_Biological_Process_2023,Positive Regulation Of Fatty Acid Beta-Oxidation (GO:0032000),1/8,0.0323385449223173,0.1666635726891738,0,0,35.116402116402114,120.50177299317812,PLIN5
GO_Biological_Process_2023,Phospholipid Metabolic Process (GO:0006644),2/69,0.0326328699454196,0.1666635726891738,0,0,7.407089552238806,25.350284146821352,PLD1;PLAAT4
GO_Biological_Process_2023,Generation Of Neurons (GO:0048699),3/172,0.0337646624301536,0.1666635726891738,0,0,4.437645120215715,15.03625274594577,RAPGEF2;RUNX2;RTN4
GO_Biological_Process_2023,Somatic Recombination Of Immunoglobulin Genes Involved In Immune Response (GO:0002204),1/9,0.0363075324103127,0.1666635726891738,0,0,30.72530864197531,101.87682930785095,EXOSC6
GO_Biological_Process_2023,Regulation Of Complement Activation (GO:0030449),1/9,0.0363075324103127,0.1666635726891738,0,0,30.72530864197531,101.87682930785095,CR1
GO_Biological_Process_2023,Regulation Of Complement-Dependent Cytotoxicity (GO:1903659),1/9,0.0363075324103127,0.1666635726891738,0,0,30.72530864197531,101.87682930785095,CR1
GO_Biological_Process_2023,Negative Regulation Of Humoral Immune Response Mediated By Circulating Immunoglobulin (GO:0002924),1/9,0.0363075324103127,0.1666635726891738,0,0,30.72530864197531,101.87682930785095,CR1
GO_Biological_Process_2023,Regulation Of Dendritic Cell Apoptotic Process (GO:2000668),1/9,0.0363075324103127,0.1666635726891738,0,0,30.72530864197531,101.87682930785095,RAPGEF2
GO_Biological_Process_2023,Positive Regulation Of Leukocyte Apoptotic Process (GO:2000108),1/9,0.0363075324103127,0.1666635726891738,0,0,30.72530864197531,101.87682930785095,RAPGEF2
GO_Biological_Process_2023,Positive Regulation Of Lipase Activity (GO:0060193),1/9,0.0363075324103127,0.1666635726891738,0,0,30.72530864197531,101.87682930785095,PLIN5
GO_Biological_Process_2023,Fructose 6-Phosphate Metabolic Process (GO:0006002),1/9,0.0363075324103127,0.1666635726891738,0,0,30.72530864197531,101.87682930785095,KHSRP
GO_Biological_Process_2023,Iron Ion Transmembrane Transport (GO:0034755),1/9,0.0363075324103127,0.1666635726891738,0,0,30.72530864197531,101.87682930785095,ABCC5
GO_Biological_Process_2023,Kinetochore Assembly (GO:0051382),1/9,0.0363075324103127,0.1666635726891738,0,0,30.72530864197531,101.87682930785095,CENPE
GO_Biological_Process_2023,Nuclear mRNA Surveillance (GO:0071028),1/9,0.0363075324103127,0.1666635726891738,0,0,30.72530864197531,101.87682930785095,EXOSC6
GO_Biological_Process_2023,cGMP Biosynthetic Process (GO:0006182),1/9,0.0363075324103127,0.1666635726891738,0,0,30.72530864197531,101.87682930785095,GUCY1B1
GO_Biological_Process_2023,Protein Localization To Nuclear Envelope (GO:0090435),1/9,0.0363075324103127,0.1666635726891738,0,0,30.72530864197531,101.87682930785095,TMEM147
GO_Biological_Process_2023,Phosphatidylethanolamine Acyl-Chain Remodeling (GO:0036152),1/9,0.0363075324103127,0.1666635726891738,0,0,30.72530864197531,101.87682930785095,PLAAT4
GO_Biological_Process_2023,Mitochondrion Morphogenesis (GO:0070584),1/9,0.0363075324103127,0.1666635726891738,0,0,30.72530864197531,101.87682930785095,PID1
GO_Biological_Process_2023,Positive Regulation Of ATP Metabolic Process (GO:1903580),1/9,0.0363075324103127,0.1666635726891738,0,0,30.72530864197531,101.87682930785095,PID1
GO_Biological_Process_2023,Positive Regulation Of RNA Biosynthetic Process (GO:1902680),1/9,0.0363075324103127,0.1666635726891738,0,0,30.72530864197531,101.87682930785095,TOP2A
GO_Biological_Process_2023,Response To Type I Interferon (GO:0034340),1/9,0.0363075324103127,0.1666635726891738,0,0,30.72530864197531,101.87682930785095,TRIM56
GO_Biological_Process_2023,Negative Regulation Of Phosphorylation (GO:0042326),2/75,0.0379996275223569,0.1666635726891738,0,0,6.796232876712328,22.224897497990348,NIBAN1;PID1
GO_Biological_Process_2023,Transcription Initiation At RNA Polymerase II Promoter (GO:0006367),2/76,0.0389248842781652,0.1666635726891738,0,0,6.704054054054054,21.762174231374228,LINC02218;E2F3
GO_Biological_Process_2023,RNA Processing (GO:0006396),3/183,0.0394404084877264,0.1666635726891738,0,0,4.164135021097047,13.462500247134413,EXOSC6;PRMT1;KHSRP
GO_Biological_Process_2023,Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667),2/77,0.03985871315381,0.1666635726891738,0,0,6.614333333333334,21.31412198009527,KLF7;SSNA1
GO_Biological_Process_2023,Phosphate-Containing Compound Metabolic Process (GO:0006796),3/184,0.039979028552284,0.1666635726891738,0,0,4.140918945380796,13.331275481972584,DUSP5;KHSRP;PLAAT4
GO_Biological_Process_2023,Establishment Of Endothelial Intestinal Barrier (GO:0090557),1/10,0.0402604390785998,0.1666635726891738,0,0,27.310013717421125,87.73030443537515,RAPGEF2
GO_Biological_Process_2023,Positive Regulation Of Lipid Localization (GO:1905954),1/10,0.0402604390785998,0.1666635726891738,0,0,27.310013717421125,87.73030443537515,PLIN5
GO_Biological_Process_2023,Regulation Of Low-Density Lipoprotein Particle Clearance (GO:0010988),1/10,0.0402604390785998,0.1666635726891738,0,0,27.310013717421125,87.73030443537515,KHSRP
GO_Biological_Process_2023,Regulation Of Melanin Biosynthetic Process (GO:0048021),1/10,0.0402604390785998,0.1666635726891738,0,0,27.310013717421125,87.73030443537515,RAPGEF2
GO_Biological_Process_2023,Neuron Projection Fasciculation (GO:0106030),1/10,0.0402604390785998,0.1666635726891738,0,0,27.310013717421125,87.73030443537515,RTN4
GO_Biological_Process_2023,Kinetochore Organization (GO:0051383),1/10,0.0402604390785998,0.1666635726891738,0,0,27.310013717421125,87.73030443537515,CENPE
GO_Biological_Process_2023,Nuclear RNA Surveillance (GO:0071027),1/10,0.0402604390785998,0.1666635726891738,0,0,27.310013717421125,87.73030443537515,EXOSC6
GO_Biological_Process_2023,Nuclear Pore Complex Assembly (GO:0051292),1/10,0.0402604390785998,0.1666635726891738,0,0,27.310013717421125,87.73030443537515,RTN4
GO_Biological_Process_2023,"Nuclear-Transcribed mRNA Catabolic Process, Exonucleolytic, 3'-5' (GO:0034427)",1/10,0.0402604390785998,0.1666635726891738,0,0,27.310013717421125,87.73030443537515,EXOSC6
GO_Biological_Process_2023,Regulation Of Toll-Like Receptor 9 Signaling Pathway (GO:0034163),1/10,0.0402604390785998,0.1666635726891738,0,0,27.310013717421125,87.73030443537515,RTN4
GO_Biological_Process_2023,Regulation Of Triglyceride Catabolic Process (GO:0010896),1/10,0.0402604390785998,0.1666635726891738,0,0,27.310013717421125,87.73030443537515,PLIN5
GO_Biological_Process_2023,Mitotic Spindle Elongation (GO:0000022),1/10,0.0402604390785998,0.1666635726891738,0,0,27.310013717421125,87.73030443537515,KIF4A
GO_Biological_Process_2023,Mitotic Spindle Midzone Assembly (GO:0051256),1/10,0.0402604390785998,0.1666635726891738,0,0,27.310013717421125,87.73030443537515,KIF4A
